"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"6016","1031","2109","898","2580","404","0","19","593","186","0","19","536","506","198","178","0","19","198","178","1400000US25021420101","Census Tract 4201.01, Norfolk County, Massachusetts"
"3907","589","1409","436","931","522","0","13","1228","569","0","13","235","233","104","93","0","13","104","93","1400000US25021420102","Census Tract 4201.02, Norfolk County, Massachusetts"
"3013","440","905","212","1342","252","0","13","594","305","0","13","35","45","137","119","45","50","92","107","1400000US25021420201","Census Tract 4202.01, Norfolk County, Massachusetts"
"6630","682","2337","453","3056","527","0","19","838","237","0","19","61","75","338","189","28","44","310","184","1400000US25021420202","Census Tract 4202.02, Norfolk County, Massachusetts"
"7590","799","2045","525","2874","514","0","19","1346","624","0","19","942","756","383","365","30","39","353","363","1400000US25021420301","Census Tract 4203.01, Norfolk County, Massachusetts"
"7058","603","2265","523","2904","704","14","22","450","326","16","33","1105","588","304","180","153","111","151","138","1400000US25021420302","Census Tract 4203.02, Norfolk County, Massachusetts"
"5507","444","4154","483","589","225","0","19","114","117","0","19","35","66","615","353","264","234","351","256","1400000US25021421100","Census Tract 4211, Norfolk County, Massachusetts"
"5544","444","4230","440","920","407","0","19","169","177","0","19","10","12","215","133","87","96","128","111","1400000US25021421200","Census Tract 4212, Norfolk County, Massachusetts"
"5453","583","4903","571","53","69","12","20","255","156","0","19","188","190","42","39","15","23","27","32","1400000US25021422100","Census Tract 4221, Norfolk County, Massachusetts"
"1367","382","1123","228","0","13","0","13","244","325","0","13","0","13","0","13","0","13","0","13","1400000US25021422201","Census Tract 4222.01, Norfolk County, Massachusetts"
"7056","771","5741","863","26","34","12","21","1078","618","0","19","76","81","123","93","11","19","112","89","1400000US25021422202","Census Tract 4222.02, Norfolk County, Massachusetts"
"3733","693","3411","694","153","126","13","21","42","44","0","13","27","40","87","100","0","13","87","100","1400000US25021422301","Census Tract 4223.01, Norfolk County, Massachusetts"
"4554","542","3406","474","411","316","0","13","449","261","0","13","137","102","151","159","80","125","71","99","1400000US25021422303","Census Tract 4223.03, Norfolk County, Massachusetts"
