"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2994","13","2787","104","109","101","0","95","0","95","0","95","0","95","98","90","0","95","98","90","1400000US25001010100","Census Tract 101, Barnstable County, Massachusetts"
"2858","256","2774","259","2","4","0","95","0","95","0","95","16","25","66","51","2","4","64","52","1400000US25001010206","Census Tract 102.06, Barnstable County, Massachusetts"
"1903","260","1855","248","0","95","31","48","17","38","0","95","0","95","0","95","0","95","0","95","1400000US25001010208","Census Tract 102.08, Barnstable County, Massachusetts"
"2395","269","2335","265","15","30","16","27","22","34","0","95","0","95","7","15","0","95","7","15","1400000US25001010304","Census Tract 103.04, Barnstable County, Massachusetts"
"2616","270","2563","263","9","20","0","95","44","49","0","95","0","95","0","95","0","95","0","95","1400000US25001010306","Census Tract 103.06, Barnstable County, Massachusetts"
"3056","296","2986","306","0","95","0","95","18","22","0","95","29","43","23","51","0","95","23","51","1400000US25001010400","Census Tract 104, Barnstable County, Massachusetts"
"2890","300","2820","298","5","11","0","95","62","91","0","95","0","95","3","9","0","95","3","9","1400000US25001010500","Census Tract 105, Barnstable County, Massachusetts"
"3235","213","2920","180","270","220","0","95","26","23","0","95","15","36","4","9","0","95","4","9","1400000US25001010600","Census Tract 106, Barnstable County, Massachusetts"
"2942","210","2825","207","36","30","0","95","22","27","0","95","14","21","45","41","0","95","45","41","1400000US25001010700","Census Tract 107, Barnstable County, Massachusetts"
"4966","322","4858","329","50","68","13","21","19","17","0","95","0","95","26","34","5","12","21","27","1400000US25001010800","Census Tract 108, Barnstable County, Massachusetts"
"4887","322","4674","339","62","68","0","95","0","95","0","95","16","37","135","153","0","95","135","153","1400000US25001010900","Census Tract 109, Barnstable County, Massachusetts"
"4402","339","3987","431","115","124","0","95","0","95","0","95","255","247","45","55","45","55","0","95","1400000US25001011002","Census Tract 110.02, Barnstable County, Massachusetts"
"4199","306","4054","309","0","95","0","95","57","62","0","95","11","19","77","71","14","30","63","78","1400000US25001011100","Census Tract 111, Barnstable County, Massachusetts"
"3658","307","3368","314","6","7","0","95","224","222","0","95","0","95","60","80","0","95","60","80","1400000US25001011200","Census Tract 112, Barnstable County, Massachusetts"
"2625","261","2625","261","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US25001011300","Census Tract 113, Barnstable County, Massachusetts"
"2951","328","2725","305","143","166","0","95","0","95","0","95","0","95","83","89","0","95","83","89","1400000US25001011400","Census Tract 114, Barnstable County, Massachusetts"
"3730","439","3263","401","342","341","53","48","8","13","0","95","15","27","49","80","0","95","49","80","1400000US25001011500","Census Tract 115, Barnstable County, Massachusetts"
"3207","490","3111","486","8","15","0","95","8","16","0","95","6","15","74","99","38","79","36","59","1400000US25001011600","Census Tract 116, Barnstable County, Massachusetts"
"1879","285","1793","266","10","25","0","95","33","33","0","95","0","95","43","59","0","95","43","59","1400000US25001011700","Census Tract 117, Barnstable County, Massachusetts"
"2175","316","2026","344","0","95","0","95","24","33","0","95","13","21","112","66","0","95","112","66","1400000US25001011801","Census Tract 118.01, Barnstable County, Massachusetts"
"4184","352","3957","410","48","51","0","95","63","42","0","95","1","2","115","112","0","95","115","112","1400000US25001011802","Census Tract 118.02, Barnstable County, Massachusetts"
"5718","406","5641","403","75","118","0","95","0","95","0","95","2","4","0","95","0","95","0","95","1400000US25001012001","Census Tract 120.01, Barnstable County, Massachusetts"
"3049","369","2699","360","156","142","42","66","56","50","0","95","16","30","80","81","12","20","68","79","1400000US25001012002","Census Tract 120.02, Barnstable County, Massachusetts"
"5111","493","4794","467","164","150","15","18","0","95","0","95","23","33","115","83","35","52","80","66","1400000US25001012101","Census Tract 121.01, Barnstable County, Massachusetts"
"3682","456","3422","436","110","118","0","95","0","95","0","95","70","88","80","96","6","15","74","96","1400000US25001012102","Census Tract 121.02, Barnstable County, Massachusetts"
"4663","474","4479","501","14","15","0","95","65","54","0","95","20","25","85","77","42","67","43","41","1400000US25001012200","Census Tract 122, Barnstable County, Massachusetts"
"2505","279","2302","290","18","20","0","95","110","113","0","95","2","3","73","105","0","95","73","105","1400000US25001012502","Census Tract 125.02, Barnstable County, Massachusetts"
"2880","331","2754","353","0","95","0","95","41","46","0","95","35","58","50","59","0","95","50","59","1400000US25001012601","Census Tract 126.01, Barnstable County, Massachusetts"
"4916","563","3992","639","329","231","86","71","116","112","0","95","229","214","164","181","14","27","150","161","1400000US25001012602","Census Tract 126.02, Barnstable County, Massachusetts"
"4657","637","4136","550","68","122","0","95","0","95","0","95","296","297","157","189","0","95","157","189","1400000US25001012700","Census Tract 127, Barnstable County, Massachusetts"
"4174","421","4109","423","0","95","19","30","27","45","0","95","0","95","19","22","19","22","0","95","1400000US25001012800","Census Tract 128, Barnstable County, Massachusetts"
"4175","243","4017","253","28","29","19","31","21","23","0","95","40","50","50","46","16","26","34","40","1400000US25001012900","Census Tract 129, Barnstable County, Massachusetts"
"3287","398","3117","403","47","61","0","95","23","36","0","95","74","80","26","30","15","23","11","18","1400000US25001013002","Census Tract 130.02, Barnstable County, Massachusetts"
"6332","446","6143","445","64","63","0","95","0","95","0","95","77","85","48","59","18","29","30","50","1400000US25001013100","Census Tract 131, Barnstable County, Massachusetts"
"4952","391","4839","374","100","112","0","95","13","15","0","95","0","95","0","95","0","95","0","95","1400000US25001013200","Census Tract 132, Barnstable County, Massachusetts"
"2975","293","2944","302","0","95","0","95","31","44","0","95","0","95","0","95","0","95","0","95","1400000US25001013300","Census Tract 133, Barnstable County, Massachusetts"
"4272","256","4111","266","0","95","0","95","0","95","0","95","95","117","66","102","0","95","66","102","1400000US25001013400","Census Tract 134, Barnstable County, Massachusetts"
"6980","324","6761","372","116","93","0","95","62","92","0","95","26","40","15","24","0","95","15","24","1400000US25001013500","Census Tract 135, Barnstable County, Massachusetts"
"6291","334","6129","340","3","8","0","95","37","40","0","95","105","110","17","28","0","95","17","28","1400000US25001013600","Census Tract 136, Barnstable County, Massachusetts"
"4386","345","4233","348","24","23","34","40","44","33","0","95","12","23","39","44","5","9","34","43","1400000US25001013700","Census Tract 137, Barnstable County, Massachusetts"
"5062","396","5045","394","0","95","0","95","9","13","0","95","0","95","8","13","0","95","8","13","1400000US25001013800","Census Tract 138, Barnstable County, Massachusetts"
"4867","376","4652","373","19","32","0","95","54","48","0","95","51","83","91","95","18","27","73","91","1400000US25001013900","Census Tract 139, Barnstable County, Massachusetts"
"4197","406","4039","415","64","78","0","95","41","56","0","95","37","46","16","25","1","2","15","25","1400000US25001014002","Census Tract 140.02, Barnstable County, Massachusetts"
"1237","385","739","213","110","139","37","47","3","6","0","95","26","33","322","188","0","95","322","188","1400000US25001014100","Census Tract 141, Barnstable County, Massachusetts"
"4333","508","4128","485","15","24","47","68","143","152","0","95","0","95","0","95","0","95","0","95","1400000US25001014300","Census Tract 143, Barnstable County, Massachusetts"
"6589","501","6104","571","31","45","0","95","353","201","0","95","15","20","86","75","24","41","62","49","1400000US25001014402","Census Tract 144.02, Barnstable County, Massachusetts"
"6039","539","5035","465","552","486","0","95","0","95","0","95","95","99","357","216","41","53","316","209","1400000US25001014500","Census Tract 145, Barnstable County, Massachusetts"
"3891","330","3536","379","16","37","22","35","163","101","0","95","0","95","154","120","27","38","127","108","1400000US25001014600","Census Tract 146, Barnstable County, Massachusetts"
"3729","338","3378","310","100","139","0","95","33","51","0","95","131","132","87","93","14","24","73","90","1400000US25001014700","Census Tract 147, Barnstable County, Massachusetts"
"3423","356","3108","343","106","82","0","95","144","168","0","95","0","95","65","62","19","30","46","52","1400000US25001014800","Census Tract 148, Barnstable County, Massachusetts"
"3670","295","3503","277","27","29","0","95","74","61","0","95","1","3","65","52","22","34","43","42","1400000US25001014900","Census Tract 149, Barnstable County, Massachusetts"
"4196","256","3991","304","0","95","61","71","0","95","0","95","45","59","99","105","2","5","97","105","1400000US25001015001","Census Tract 150.01, Barnstable County, Massachusetts"
"3686","298","3300","419","40","39","96","119","17","28","0","95","159","197","74","80","0","95","74","80","1400000US25001015002","Census Tract 150.02, Barnstable County, Massachusetts"
"3844","259","3489","304","155","195","27","43","16","29","0","95","31","34","126","84","35","43","91","66","1400000US25001015100","Census Tract 151, Barnstable County, Massachusetts"
"2174","216","2157","216","0","95","0","95","17","19","0","95","0","95","0","95","0","95","0","95","1400000US25001015200","Census Tract 152, Barnstable County, Massachusetts"
"2945","440","1807","360","486","237","232","227","17","25","0","95","128","110","275","203","55","70","220","183","1400000US25001015300","Census Tract 153, Barnstable County, Massachusetts"
"0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US25001990000","Census Tract 9900, Barnstable County, Massachusetts"
"3438","367","2865","381","399","234","7","13","29","44","0","95","36","44","102","94","0","95","102","94","1400000US25003900100","Census Tract 9001, Berkshire County, Massachusetts"
"4481","415","3446","461","424","227","25","33","0","95","0","95","132","103","454","247","38","52","416","242","1400000US25003900200","Census Tract 9002, Berkshire County, Massachusetts"
"2792","248","2579","233","71","57","0","95","0","95","0","95","16","23","126","90","44","57","82","79","1400000US25003900300","Census Tract 9003, Berkshire County, Massachusetts"
"4843","323","4616","342","159","133","0","95","0","95","0","95","29","38","39","56","0","95","39","56","1400000US25003900400","Census Tract 9004, Berkshire County, Massachusetts"
"3384","251","3131","233","43","37","0","95","110","94","0","95","1","4","99","75","4","8","95","75","1400000US25003900500","Census Tract 9005, Berkshire County, Massachusetts"
"4155","330","2958","422","816","270","17","27","35","57","0","95","57","69","272","173","12","19","260","174","1400000US25003900600","Census Tract 9006, Berkshire County, Massachusetts"
"2855","198","2707","179","61","44","17","27","44","66","11","17","15","23","0","95","0","95","0","95","1400000US25003900700","Census Tract 9007, Berkshire County, Massachusetts"
"5263","277","5036","333","150","135","0","95","0","95","10","16","0","95","67","82","53","78","14","18","1400000US25003900800","Census Tract 9008, Berkshire County, Massachusetts"
"4718","312","4372","362","155","196","0","95","79","122","0","95","39","40","73","75","20","24","53","70","1400000US25003900900","Census Tract 9009, Berkshire County, Massachusetts"
"3536","215","3482","198","14","27","0","95","20","32","0","95","0","95","20","22","0","95","20","22","1400000US25003901100","Census Tract 9011, Berkshire County, Massachusetts"
"3074","18","2957","114","35","54","0","95","61","86","0","95","21","34","0","95","0","95","0","95","1400000US25003911100","Census Tract 9111, Berkshire County, Massachusetts"
"6753","21","6605","131","31","29","0","95","102","123","0","95","8","14","7","12","0","95","7","12","1400000US25003912100","Census Tract 9121, Berkshire County, Massachusetts"
"5013","17","4750","161","70","98","7","14","122","118","0","95","4","8","60","61","0","95","60","61","1400000US25003913100","Census Tract 9131, Berkshire County, Massachusetts"
"5932","19","5749","133","6","13","0","95","109","121","0","95","67","105","1","4","0","95","1","4","1400000US25003914100","Census Tract 9141, Berkshire County, Massachusetts"
"4731","224","4470","222","61","50","5","7","101","69","0","95","31","50","63","63","0","95","63","63","1400000US25003920101","Census Tract 9201.01, Berkshire County, Massachusetts"
"3097","220","2805","235","20","20","54","63","186","108","0","95","0","95","32","44","0","95","32","44","1400000US25003920102","Census Tract 9201.02, Berkshire County, Massachusetts"
"5396","414","4782","436","399","216","54","42","10","21","52","67","0","95","99","73","6","10","93","73","1400000US25003921300","Census Tract 9213, Berkshire County, Massachusetts"
"1659","195","1496","184","35","42","17","25","0","95","0","95","81","71","30","42","4","10","26","42","1400000US25003921400","Census Tract 9214, Berkshire County, Massachusetts"
"2883","277","2750","277","17","25","0","95","28","35","0","95","21","33","67","49","31","39","36","29","1400000US25003921500","Census Tract 9215, Berkshire County, Massachusetts"
"2614","225","2539","218","10","19","16","17","0","95","0","95","0","95","49","52","0","95","49","52","1400000US25003922100","Census Tract 9221, Berkshire County, Massachusetts"
"3640","272","3521","294","27","37","12","18","15","28","0","95","0","95","65","60","0","95","65","60","1400000US25003922200","Census Tract 9222, Berkshire County, Massachusetts"
"2240","220","2155","226","19","19","0","95","20","29","0","95","4","6","42","45","6","9","36","44","1400000US25003922300","Census Tract 9223, Berkshire County, Massachusetts"
"3245","22","3194","50","12","20","0","95","0","95","0","95","9","14","30","32","0","95","30","32","1400000US25003923100","Census Tract 9231, Berkshire County, Massachusetts"
"1755","260","1657","244","65","57","0","95","14","22","0","95","19","42","0","95","0","95","0","95","1400000US25003924100","Census Tract 9241, Berkshire County, Massachusetts"
