geoid,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
06037603004,45091,8398,1466,155,175,416,651,159,53,53333,10191,1532,174,222,459,598,223,10,54087,9135,1530,182,251,440,616,211,12,53889,8769,1549,163,259,424,591,268,7
06037603005,45938,2618,5638,513,751,1966,703,2026,192,48511,3962,5706,475,620,1979,851,2199,57,48969,6944,5859,502,916,1897,898,1993,155,50656,6876,5928,420,900,1810,1090,1906,222
06037603006,43529,12694,1935,212,369,260,897,250,105,41719,10584,1932,219,382,189,967,261,115,45250,17744,1905,192,349,197,984,270,100,58750,15432,1898,190,529,113,800,369,65
06037603101,46406,10570,3997,353,1260,999,1090,465,182,55123,12981,4073,361,1456,859,1114,403,219,54773,10094,4043,324,1392,910,996,515,214,57188,7172,4139,284,1437,593,1170,606,315
06037603102,50190,13423,3736,346,937,481,1367,790,120,46633,8678,3675,343,863,458,1286,884,162,55333,10158,3742,374,1047,557,1085,912,141,58958,16723,3664,336,1048,530,1051,848,179
06037603200,62031,15691,3320,331,434,589,1487,712,81,66818,14096,3232,259,524,406,1521,688,76,72006,13867,3245,305,627,433,1526,558,101,83899,9336,3394,309,752,435,1251,840,116
06037603301,36094,10694,3631,303,508,265,2074,530,247,40594,6289,3696,350,526,248,2052,586,284,48313,12688,3846,316,729,255,1830,671,361,53226,12199,3617,339,693,138,1721,680,291
06037603302,43938,7654,4106,459,1267,306,1483,804,199,42905,9417,3852,347,958,259,1608,817,167,48095,10744,3908,344,1035,298,1637,741,139,52722,10422,4048,311,1083,251,1748,749,158
06037603400,53503,7733,4423,383,1483,653,989,901,134,54786,10207,4640,503,1314,512,1108,1053,264,61688,9606,4509,532,1309,462,1090,1061,242,63427,8105,4113,450,1221,455,1073,845,269
06037603500,71806,17986,2996,180,1000,303,850,674,164,76750,19203,3000,204,1094,284,765,638,213,81815,16522,3084,195,1225,321,788,514,229,81797,17574,3042,225,1240,349,749,546,149
06037603600,91563,27317,4294,336,1962,296,1257,617,152,67365,22471,4294,352,2049,320,1246,513,166,73672,12120,4270,426,1812,464,1280,492,169,76447,12707,4258,434,1914,375,1338,390,174
06037603702,75179,13601,4972,440,2402,241,1644,320,326,79583,16098,4857,483,2536,364,1200,437,246,80688,17670,4914,337,2674,175,1102,602,313,81304,21589,4777,319,2343,104,1333,686,222
06037603703,81667,10732,2575,185,1290,88,392,471,294,86200,10075,2654,192,1217,85,414,546,305,88750,17636,2513,175,1166,83,449,471,198,93750,15993,2491,177,1311,46,488,334,167
06037603704,45498,4369,6650,707,1119,1782,530,2221,671,51339,10413,6369,595,1255,1897,491,1826,649,49690,8554,6625,759,1281,2136,292,2080,583,52590,5539,6609,859,1511,1750,286,2188,361
06037603801,48427,6837,4763,487,1303,927,391,1164,911,52667,7459,4994,515,1240,913,417,1568,800,55030,5969,4747,487,1057,898,374,1570,798,59085,6471,4748,406,1369,826,434,1863,218
06037603802,56809,6633,4090,375,2059,241,437,846,277,56806,8832,3837,390,1736,368,397,890,276,59696,9930,3777,413,1353,291,565,1196,205,58716,14850,4040,449,1914,281,498,963,205
06037603900,46865,9621,7734,578,3762,664,944,1780,584,46308,7893,7739,560,3079,773,819,2532,523,48576,7236,7510,623,3149,607,837,2469,435,51110,8381,7666,615,2998,788,839,2858,168
06037604001,50323,5053,4550,397,2672,297,308,702,429,58080,6866,4614,469,2424,383,327,795,542,67823,10136,4600,431,2138,445,460,1167,361,67407,8554,4207,344,1974,328,558,1031,261
06037604002,50882,6696,4855,345,2523,279,780,923,306,57738,6667,4968,378,2461,311,778,1010,369,60274,7407,4886,372,2025,362,745,1294,430,61607,7872,4856,437,2041,434,739,1273,294
06037604100,65202,21293,7169,605,3530,776,534,1737,519,64792,22710,7039,654,3297,740,592,1894,439,63547,7673,7487,600,3952,234,505,2410,316,68740,4861,7302,511,3670,695,549,2106,258
06037609900,57885,15322,1977,206,1391,124,77,278,100,67386,9670,2090,236,1464,72,117,300,134,63889,17597,2148,203,1461,68,128,354,133,71071,14233,2057,239,1358,74,141,327,155
06037620001,108472,31553,3919,314,3192,90,189,28,420,102250,15774,4196,272,3289,106,256,95,450,116349,14080,4236,327,3194,273,215,115,432,124844,21122,4251,316,3253,198,331,122,340
06037620002,72019,17242,3510,304,2716,94,346,109,245,92798,19963,3563,293,2539,89,431,213,291,108153,16529,3494,285,2404,69,528,228,265,111688,17113,3493,259,2450,1,620,210,212
06037620101,104359,18609,5625,290,4444,74,603,67,410,97406,22641,5442,270,4116,86,662,168,387,97639,12423,5558,384,3690,285,689,114,780,108170,22624,5632,407,3766,389,583,143,751
06037620102,82606,5105,3847,258,3096,28,121,223,263,79135,10530,3728,231,2900,15,181,241,278,84000,16685,3562,251,2704,11,198,267,318,97396,13548,3355,287,2536,38,167,281,294
06037620201,116761,16357,1422,150,1235,53,56,5,66,118438,18651,1566,133,1324,71,97,5,62,130761,23391,1568,145,1374,32,79,5,72,114886,19613,1529,166,1327,32,79,30,54
