"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"4614","469","2424","462","383","288","26","26","327","132","117","149","795","362","542","242","78","72","464","234","1400000US06037604001","Census Tract 6040.01, Los Angeles County, California"
"4968","378","2461","508","311","213","0","12","778","280","39","55","1010","380","369","193","163","131","206","141","1400000US06037604002","Census Tract 6040.02, Los Angeles County, California"
"7039","654","3297","627","740","496","77","124","592","166","0","17","1894","555","439","297","89","96","350","296","1400000US06037604100","Census Tract 6041, Los Angeles County, California"
"2090","236","1464","189","72","53","1","4","117","66","2","4","300","118","134","59","28","23","106","56","1400000US06037609900","Census Tract 6099, Los Angeles County, California"
"4196","272","3289","328","106","73","0","12","256","147","0","12","95","91","450","209","22","36","428","210","1400000US06037620001","Census Tract 6200.01, Los Angeles County, California"
"3563","293","2539","315","89","98","0","12","431","181","0","12","213","161","291","118","0","12","291","118","1400000US06037620002","Census Tract 6200.02, Los Angeles County, California"
"5442","270","4116","378","86","81","23","39","662","163","0","17","168","128","387","234","123","133","264","185","1400000US06037620101","Census Tract 6201.01, Los Angeles County, California"
"3728","231","2900","220","15","23","59","56","181","76","54","68","241","225","278","140","17","19","261","137","1400000US06037620102","Census Tract 6201.02, Los Angeles County, California"
"1566","133","1324","141","71","49","7","12","97","45","0","12","5","9","62","39","19","22","43","31","1400000US06037620201","Census Tract 6202.01, Los Angeles County, California"
"4984","270","4069","255","0","12","64","66","244","100","0","12","200","134","407","154","192","138","215","71","1400000US06037620301","Census Tract 6203.01, Los Angeles County, California"
"4442","277","3677","263","3","5","0","12","497","117","0","12","24","33","241","110","0","12","241","110","1400000US06037620303","Census Tract 6203.03, Los Angeles County, California"
"5768","545","4915","479","65","100","0","17","220","161","0","17","330","153","238","140","44","61","194","131","1400000US06037620305","Census Tract 6203.05, Los Angeles County, California"
"5220","249","3938","307","18","28","0","17","802","174","0","17","119","74","343","165","38","53","305","162","1400000US06037620400","Census Tract 6204, Los Angeles County, California"
"6394","509","4346","478","582","513","60","63","646","171","21","33","162","108","577","237","99","113","478","209","1400000US06037620501","Census Tract 6205.01, Los Angeles County, California"
"4132","330","2421","270","190","117","0","12","739","226","0","12","184","101","598","251","30","34","568","249","1400000US06037620521","Census Tract 6205.21, Los Angeles County, California"
"4816","348","2931","359","174","111","34","57","746","122","0","12","517","271","414","196","0","12","414","196","1400000US06037620522","Census Tract 6205.22, Los Angeles County, California"
