geoid,2011 median income,2011 median income margin of error,2011 race: total households,2011 race: total households margin of error,2011 race: White,2011 race: Black,2011 race: Asian,2011 race: Other,2011 race: 2 or more races,2012 median income,2012 median income margin of error,2012 race: total households,2012 race: total households margin of error,2012 race: White,2012 race: Black,2012 race: Asian,2012 race: Other,2012 race: 2 or more races,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races
42101016100,26524,4020,5107,542,2239,785,920,1143,20,24091,5646,5037,588,2215,667,861,1269,25,25441,6538,5041,650,2844,488,795,905,9,25223,8560,4791,644,2614,415,848,897,17,35000,12245,5152,671,2975,329,781,975,92,46174,12074,5964,698,3589,268,790,1104,213
42101016200,16016,9902,1877,271,656,859,0,218,144,17314,7192,1794,235,701,600,0,359,134,17794,6597,2049,267,788,563,0,562,136,20040,5306,2206,337,644,482,0,979,101,19018,3663,2278,358,724,492,0,1043,19,21765,4813,2441,391,739,499,84,1065,54
42101016300,14042,3370,3084,584,890,822,220,1112,40,12232,2887,3622,641,964,1229,340,1061,28,12381,2938,4093,615,1229,677,543,1609,35,12343,2331,3935,529,1249,455,496,1664,71,12846,2692,3574,459,1054,363,363,1714,80,14017,4056,3710,473,1605,288,339,1393,85
42101016400,13500,4145,4669,703,1146,2185,40,1045,253,13364,2809,4718,660,725,2129,59,1515,290,12569,2413,4405,556,664,2218,74,1258,191,12436,2406,4543,612,647,2578,0,1190,128,17270,5192,4567,571,774,2418,0,1229,146,16222,4462,4338,499,984,1970,0,1181,203
42101016500,14127,5245,2099,354,81,1830,0,36,152,13649,5422,1911,372,38,1616,0,141,116,12121,7268,2170,389,58,1669,0,379,64,14894,4872,2065,359,96,1543,0,360,66,15401,3445,2251,448,97,1773,27,289,65,14760,7648,2687,490,288,1677,128,588,6
42101016600,22713,13303,1433,305,121,1277,0,8,27,13750,17577,1459,302,122,1306,0,8,23,24479,7094,1567,255,279,1238,0,35,15,15855,13364,1624,232,324,1241,9,37,13,(X),(X),1652,300,304,1190,5,103,50,13807,13733,1627,285,345,1139,6,98,39
42101016701,20617,5010,2372,373,25,2336,0,11,0,21987,12161,2778,481,19,2750,0,9,0,20079,6739,2635,472,23,2592,0,11,9,18955,5470,2932,541,24,2859,28,14,7,20000,7355,3021,472,43,2852,40,18,68,19647,8035,2871,496,17,2765,26,0,63
42101016702,17994,5845,3315,849,215,3100,0,0,0,17076,7051,3046,674,401,2645,0,0,0,25996,7141,3165,603,251,2866,0,27,21,20565,7961,2930,467,239,2622,0,42,27,25448,8336,3129,555,308,2745,8,44,24,20230,7234,2796,378,161,2552,9,48,26
42101016800,31621,4852,4034,396,211,3768,0,0,55,29375,7425,4284,608,101,4069,0,0,114,26989,5007,4457,585,118,4201,0,0,138,27574,4614,4206,439,174,3942,0,16,74,23569,4519,3942,548,153,3734,0,18,37,17250,4760,3605,561,154,3419,0,21,11
42101016901,21711,3542,3664,578,117,3508,39,0,0,24313,3511,3789,729,92,3559,44,0,94,27070,5463,3622,548,75,3464,8,0,75,25292,3414,3356,493,58,3221,7,0,70,28125,5802,3495,488,59,3330,11,0,95,29202,4833,3430,526,6,3303,11,0,110
42101016902,20909,5208,5248,613,140,4757,0,1,350,23427,3955,5587,712,136,5055,0,2,394,25382,4057,5500,826,100,5062,0,0,338,21035,5254,5798,868,159,5629,0,0,10,22525,4683,5909,958,65,5832,0,0,12,24802,6662,5797,961,88,5664,0,45,0
42101017000,22410,9535,2766,444,620,2028,68,47,3,22413,13655,2926,409,745,1981,115,69,16,30694,14685,3239,301,625,2368,160,71,15,25299,9130,3050,373,566,2325,102,35,22,31354,13129,3086,394,621,2332,70,35,28,36275,15863,3114,369,522,2423,90,47,32
42101017100,18800,8415,4058,494,181,3779,0,65,33,25551,5739,3606,512,210,3303,0,61,32,27244,5091,3902,486,162,3615,0,69,56,28811,5848,4078,494,91,3854,0,67,66,30119,9455,4269,402,67,4059,0,64,79,30647,8274,3997,437,113,3812,0,15,57
42101017201,19531,6921,3456,608,0,3408,0,35,13,19816,5779,3549,605,0,3476,0,49,24,20357,6394,3411,482,23,3258,0,19,111,21096,5244,3375,417,70,3205,0,5,95,24207,5150,3516,441,83,3129,0,68,236,27217,6639,3194,438,85,2667,125,71,246
42101017202,19161,3173,3762,710,12,3735,0,0,15,19967,3351,3469,532,124,3331,0,0,14,22038,6441,3363,551,159,3191,0,0,13,21875,7591,3341,538,158,3122,48,0,13,20536,6618,3374,507,191,3031,137,0,15,15731,7158,2991,418,178,2695,118,0,0
42101017300,18090,3060,3472,558,47,3349,0,29,47,20036,5491,3469,547,41,3359,0,35,34,21314,3095,3273,460,45,3173,0,17,38,20430,4946,3178,455,66,3073,6,15,18,22279,4466,3202,474,123,3034,6,19,20,23479,4295,2607,389,127,2460,6,5,9
42101017400,20868,6860,2194,394,19,2059,0,0,116,19750,4475,2105,386,23,1923,0,125,34,16414,5679,1992,272,13,1857,0,122,0,18319,5171,2268,338,30,2117,0,121,0,20461,5654,2118,269,82,1924,0,112,0,22625,3760,2204,329,193,1879,0,132,0
42101017500,14972,3865,7057,783,1972,2619,0,2338,128,14768,3666,6763,869,1246,2704,0,2766,47,14340,2663,7431,1010,1229,2715,0,3454,33,15743,5079,7214,959,1693,2491,0,2866,164,16978,4647,7097,760,1798,2645,44,2473,137,17708,3316,6850,847,2251,1805,39,2559,196
42101017601,11122,1806,5434,721,1551,1158,0,2545,180,12039,2590,5198,794,1581,985,0,2536,96,14121,2920,5588,748,1518,969,0,2992,109,16531,2688,5922,625,1816,721,0,3208,177,17192,3575,6044,682,1735,474,2,3680,153,17855,4507,5728,722,1855,497,2,3216,158
42101017602,18741,1900,3874,537,1097,446,37,2161,133,17535,2834,3729,479,1034,711,8,1827,149,17296,2991,3766,467,1159,660,11,1746,190,17729,2847,3906,460,1359,546,17,1783,201,18086,2359,4320,431,1801,595,62,1667,195,18329,3212,4267,496,2075,605,43,1337,207
42101017701,21393,10320,3666,605,955,859,241,1442,169,19796,6520,3288,590,988,1181,50,883,186,18459,6864,3831,556,938,1038,37,1532,286,23385,6792,3937,677,1032,1236,54,1403,212,25292,5114,3919,741,1189,1075,60,1433,162,21589,4138,4012,689,1249,1300,22,1084,357
42101017702,16356,3804,6413,880,1597,1344,65,2737,670,16036,1283,6310,1087,1752,1304,44,2424,786,15392,1813,6171,897,1940,1313,76,2279,563,14907,2295,6371,884,1885,1481,67,2493,445,14587,2725,5806,705,1966,1408,73,1935,424,16604,3048,5441,633,1706,1445,12,1874,404
42101017800,20093,3734,6579,871,1877,1607,341,2317,437,20586,3486,6531,805,2007,1851,374,1975,324,22458,4479,7100,763,2305,1803,310,2356,326,20484,7150,6775,794,1985,1766,441,2326,257,22283,9769,5725,638,2280,1584,278,1479,104,24975,9170,6224,733,2556,1912,282,1427,47
42101017900,26652,11370,5456,796,3271,1345,58,566,216,23516,8064,6290,1115,3524,1415,67,937,347,22050,5708,6442,1286,3063,2352,61,675,291,25603,6315,7236,1521,3184,2977,37,727,311,27607,4139,6885,1061,3912,1777,45,974,177,31197,2567,7283,817,3629,1969,0,1543,142
42101018001,36121,4157,2181,538,2181,0,0,0,0,33611,13068,2161,304,2117,0,41,0,3,32031,11183,2610,415,2448,3,44,0,115,35962,13798,2372,364,2216,36,31,0,89,47308,19378,2567,312,2315,33,89,0,130,57981,12510,2662,307,2408,53,85,0,116
42101018002,34124,4698,5139,631,4639,8,41,27,424,34966,4907,4888,557,4474,0,21,29,364,38051,6878,5341,620,5035,0,0,45,261,40911,5259,5502,610,5221,1,0,54,226,40891,10513,5430,635,5339,4,34,53,0,39479,9371,5740,587,5471,3,105,91,70
42101018300,41338,4279,4297,391,4008,278,11,0,0,44742,5900,4074,284,4051,12,11,0,0,44104,8128,4086,324,4064,12,10,0,0,47578,14856,3792,338,3764,15,12,1,0,52288,11799,3818,288,3762,35,11,1,9,59063,10122,4004,316,3961,33,0,1,9
42101018400,43036,9829,2052,205,1962,1,0,32,57,42639,6661,2214,246,2079,1,26,27,81,47892,6029,2379,257,2229,1,58,20,71,48884,3763,2497,335,2348,2,46,23,78,48715,4310,2471,340,2369,1,77,16,8,50321,4094,2434,247,2352,1,62,4,15
42101018800,21672,8608,8165,1158,3259,2223,100,2262,321,23237,9703,8285,975,3369,2694,78,1784,360,22263,8185,8877,908,3589,3083,82,1614,509,20864,6360,8698,1111,3850,2738,113,1514,483,21949,5375,9146,1005,3996,2845,150,1444,711,23705,3928,9162,965,3791,3101,149,1388,733
42101019000,30488,5302,7876,911,2410,2427,697,1914,428,27955,2418,7848,885,2635,1824,283,2793,313,28056,3873,8032,1004,2767,1870,355,2616,424,30702,4027,7996,804,2722,1649,371,2455,799,31485,5055,7949,846,2609,1742,316,2539,743,32963,4859,8371,794,3198,1563,379,2601,630
42101019100,28365,6710,7540,822,2485,1001,994,2918,142,29583,8142,7574,659,3092,1097,851,2433,101,29625,6849,8329,772,3396,912,1211,2717,93,29196,4411,8397,766,3555,1167,1058,2524,93,29097,4734,8440,979,3707,1225,1128,2292,88,31565,5517,8857,772,4134,1452,1127,2101,43
42101019200,21090,8121,9012,1077,2619,2025,218,3746,404,21816,7815,9285,1257,2679,2827,0,3356,423,23608,4950,8105,886,2981,2342,188,2324,270,23359,4035,9150,865,2712,3444,129,2570,295,25218,6763,9510,1078,4319,2515,114,2380,182,24864,5562,9019,1014,4337,2353,21,2188,120
42101019501,14074,2674,4189,644,913,514,0,2536,226,13400,2472,4305,677,913,541,0,2722,129,13477,2094,4361,800,1058,686,0,2350,267,12791,2239,4554,712,1632,610,0,2088,224,11648,1720,4697,795,1874,488,0,2109,226,14451,3619,4437,703,1993,411,0,1860,173
42101019502,16402,6352,3596,588,1575,601,0,1395,25,17679,8245,3711,706,1663,540,0,1457,51,14259,5713,3604,635,1852,633,0,1086,33,18196,7875,3767,768,1898,684,0,1123,62,21375,9689,3266,575,1522,289,0,1345,110,23233,10909,3649,633,1825,510,0,1173,141
42101019700,22107,5942,7812,953,964,3070,116,3449,213,21219,4615,6659,826,745,2596,136,2952,230,20371,3573,6570,808,1330,2647,127,2307,159,17457,2853,6905,777,1264,3298,87,2092,164,19032,4210,7096,749,1287,3652,102,1967,88,19685,4028,6843,864,1326,3464,10,1920,123
42101019800,22997,2318,5681,555,670,1870,169,2812,160,21273,1759,5867,574,889,1392,119,3096,371,21497,1456,6615,732,1182,2401,198,2396,438,22607,2643,6577,677,1188,2337,181,2402,469,23439,1454,6992,807,1228,2713,218,2446,387,23419,1740,6970,697,1269,2860,170,2259,412
42101019900,18557,2600,4756,666,768,1800,13,2081,94,19697,3221,4674,617,969,1559,7,2010,129,22619,7540,4466,636,835,1728,0,1752,151,20896,3078,4886,719,1096,1894,0,1686,210,19498,2265,4411,695,1218,1857,0,1188,148,18576,1920,4080,647,1038,1646,0,1257,139
42101020000,31620,11473,1271,222,149,992,95,19,16,28646,9828,1369,247,144,1095,90,27,13,28696,9998,1353,261,115,1049,71,107,11,25917,6685,1276,261,170,991,60,31,24,24850,6732,1273,190,139,1022,54,34,24,25066,7353,1327,222,50,1186,25,42,24
42101020101,26144,8008,4050,792,45,3999,0,6,0,25034,9374,3953,602,41,3907,0,5,0,21917,9018,4182,604,48,4129,0,5,0,20528,5187,3871,603,41,3756,74,0,0,19235,4553,3908,576,32,3768,78,0,30,17052,3729,4025,526,127,3800,78,0,20
42101020102,31425,2617,2986,454,172,2814,0,0,0,31149,4644,3476,686,161,3159,0,0,156,31503,2769,3444,639,146,3263,0,0,35,32748,4732,3350,588,136,3095,0,22,97,31297,4426,3259,475,9,3092,0,24,134,32066,5882,3083,579,8,2916,0,32,127
42101020200,21521,3565,4965,604,163,4747,17,38,0,21068,4234,5132,782,219,4902,0,10,1,24768,4401,5197,789,213,4973,0,10,1,23681,4940,4782,639,146,4625,0,10,1,20465,8743,4696,897,289,4386,0,10,11,18550,5064,4358,752,216,4126,8,0,8
42101020300,26773,4999,2877,463,88,2659,1,94,35,26071,5864,2830,380,76,2652,1,59,42,24891,4796,2808,379,73,2690,1,7,37,20435,8278,2889,425,43,2801,0,18,27,22277,7314,2779,405,27,2619,0,89,44,26397,8399,2906,498,62,2598,0,203,43
42101020400,31294,3924,2821,514,23,2694,0,104,0,30740,5503,2867,519,26,2762,0,52,27,28564,6276,2733,421,27,2563,1,122,20,24261,4957,2538,420,13,2404,1,81,39,23101,6410,2497,466,13,2369,1,68,46,21977,6315,2631,483,37,2478,1,64,51
42101020500,20693,5656,3120,487,64,2811,146,87,12,20286,4422,3036,400,81,2866,41,35,13,21600,5427,2562,463,200,2290,0,61,11,27620,7926,2554,251,241,2090,61,89,73,20000,8836,2774,323,201,2312,88,65,108,25063,13228,2759,336,131,2435,72,34,87
42101020600,45192,23052,1985,258,1117,697,89,53,29,48875,14623,2068,253,1054,781,126,60,47,47235,12672,2089,282,976,827,147,85,54,33854,16398,1877,384,949,659,146,67,56,43750,16399,1724,229,793,638,175,66,52,34688,14406,1664,246,772,570,194,66,62
42101020700,74076,6708,6031,582,4996,700,223,55,57,66373,6379,5672,571,4761,659,193,59,0,63243,12730,5825,511,4899,583,239,76,28,56646,13033,5787,520,4587,749,271,111,69,51268,8987,5810,561,4380,875,296,112,147,52816,6874,5675,567,4226,761,340,87,261
42101020800,37069,6351,2291,343,1159,725,243,124,40,36218,6670,2303,264,1180,708,254,111,50,37727,9606,2352,291,1216,731,240,113,52,39558,10216,2177,244,1106,711,286,40,34,40000,9509,2155,227,1073,735,300,8,39,43646,13477,2196,272,1095,758,300,10,33
42101020900,63090,25416,3029,492,2635,184,158,10,42,61625,18815,2949,392,2641,171,66,0,71,54667,16889,3065,473,2829,106,76,0,54,61607,13802,2962,437,2708,94,97,0,63,54848,14827,2926,315,2627,70,75,87,67,58750,10947,2932,319,2583,137,49,133,30
42101021000,60063,14047,4457,663,4061,280,33,0,83,67132,14954,4944,599,4462,365,52,0,65,59880,14302,5119,610,4616,362,53,0,88,60820,18216,5085,571,4649,288,60,0,88,73607,21157,5094,545,4685,254,65,25,65,73723,28957,4990,517,4362,433,26,60,109
42101021100,61318,5505,2285,292,2180,76,28,1,0,66964,13317,2289,360,2101,92,60,0,36,65925,8762,2273,270,2033,91,111,0,38,63750,12004,2409,184,2018,162,124,9,96,61641,13153,2507,163,2201,123,83,9,91,69453,19248,2496,212,2074,153,113,56,100
42101021200,61181,9976,2326,344,1931,102,92,141,60,62547,12043,2141,280,1776,105,69,145,46,61932,11900,2357,270,2007,129,55,130,36,63827,7074,2586,251,2059,188,147,130,62,64212,4938,2553,261,1992,247,180,121,13,65560,11917,2440,204,1930,251,223,11,25
42101021300,56949,4486,3083,335,2801,218,15,35,14,58386,4476,3197,302,2909,192,62,10,24,61944,5086,3263,369,2973,182,76,0,32,60278,6336,3436,356,3164,140,55,0,77,59137,2982,3753,413,3426,137,56,19,115,63117,4130,3814,396,3448,140,65,19,142
42101021400,57010,5498,3118,435,2730,360,0,15,13,59167,6609,3229,389,2867,334,0,8,20,63912,5278,3618,519,3109,491,0,0,18,64036,11782,3985,677,3464,501,0,0,20,64260,12206,4279,532,3691,459,0,36,93,71125,13070,4475,593,3709,626,32,22,86
42101021500,60263,8393,3431,311,3002,100,196,52,81,69855,5851,3541,339,3081,122,228,43,67,70512,6331,3619,388,3176,63,294,13,73,71792,6005,3873,343,3455,82,230,20,86,72894,5269,3912,398,3402,130,181,21,178,72371,7279,3865,358,3334,138,187,33,173
42101021600,38472,15316,1655,156,1495,113,6,9,32,49245,19802,1850,178,1579,150,20,68,33,65197,17156,2081,276,1779,150,60,61,31,63274,16326,2129,245,1871,102,71,27,58,54009,13587,2145,242,1814,125,100,24,82,66719,13581,2174,246,1752,203,107,23,89
42101021700,66463,6915,6099,491,5327,441,160,22,149,65286,6416,6106,448,5226,520,173,23,164,61382,8798,5908,493,5171,402,119,26,190,57341,10966,6578,711,5601,689,162,0,126,57138,10332,6189,609,5657,306,104,0,122,72239,7362,5850,537,5061,413,241,0,135
42101021800,52857,7132,4352,546,3588,417,231,45,71,52663,6825,4194,549,3381,468,225,41,79,42323,7617,3988,456,3230,474,172,41,71,50482,12219,4278,413,2976,622,294,310,76,49044,13782,4164,408,2767,881,189,253,74,50135,12937,4358,395,2754,1169,168,172,95
42101021900,77612,15312,1272,174,1106,146,0,20,0,77644,8391,1421,175,1257,119,28,9,8,81216,1186,1519,159,1310,145,28,21,15,82038,3075,1578,137,1327,165,41,30,15,78145,8564,1563,113,1397,61,52,26,27,75000,10374,1508,97,1335,65,47,38,23
42101022000,105260,37797,1596,183,1226,231,16,66,57,73864,24599,1785,197,1278,235,62,152,58,76250,21338,1828,193,1348,181,78,157,64,85486,11924,1777,161,1331,286,67,79,14,84931,21757,1783,175,1373,249,67,80,14,87292,19240,1772,186,1343,257,82,77,13
42101023100,106638,33989,1177,119,1076,6,81,0,14,106927,31487,1181,85,1077,4,64,14,22,102578,37897,1179,91,1116,14,14,35,0,124625,34279,1269,111,1244,0,14,11,0,134375,24863,1377,124,1335,0,10,22,10,137500,16099,1374,105,1328,0,12,25,9
42101023500,74881,16290,1119,170,540,447,59,1,72,76548,12803,1223,123,647,454,68,1,53,74730,11458,1322,129,662,448,116,5,91,78581,7976,1276,156,641,389,137,9,100,81042,15876,1318,155,771,308,132,4,103,76667,22994,1308,165,758,399,59,7,85
42101023600,74810,24953,2898,356,1757,1001,23,81,36,77356,25240,3099,347,1703,1245,34,76,41,75179,16549,2904,323,1612,1134,37,86,35,69286,15432,3102,445,2078,854,32,130,8,65821,8578,2731,289,1862,795,20,12,42,67147,20418,2450,227,1505,863,32,10,40
42101023700,40256,8997,4861,561,1590,2716,131,80,344,44077,13684,4868,442,1596,2684,155,95,338,50292,14636,4979,487,1527,2908,85,92,367,52305,8106,4896,483,1358,2914,125,53,446,52579,6714,4738,489,1359,2713,142,47,477,54835,15180,5300,603,1508,3119,112,45,516
42101023800,34744,5710,4447,554,1374,2790,49,60,174,33175,7725,4647,581,1245,3131,58,33,180,31328,7872,4368,473,1148,2875,90,37,218,34221,11234,4460,587,1166,2994,78,30,192,41833,7802,4392,588,1175,2943,98,53,123,46607,12753,4153,487,1198,2508,60,51,336
42101023900,29314,6563,1628,205,360,1115,31,64,58,29346,2678,1472,191,349,1018,21,41,43,28508,1255,1484,204,394,1031,13,4,42,27583,3597,1260,190,341,809,17,44,49,20702,4396,1363,163,387,816,83,40,37,20843,2999,1252,206,441,590,107,65,49
42101024000,33417,9856,3827,511,1577,1997,107,89,57,33849,7736,3799,537,1418,2176,84,81,40,34375,9298,3838,494,1334,2157,103,161,83,36442,13163,3711,617,1137,2127,145,142,160,39073,6863,3815,537,1322,2168,88,57,180,43750,7614,3399,493,1237,1739,107,117,199
42101024100,11230,3044,959,187,245,671,7,23,13,11353,1545,1101,204,233,823,6,17,22,12399,3283,1225,221,306,895,0,17,7,16985,4665,1301,249,345,905,0,15,36,14844,4151,1535,227,394,1052,6,24,59,16392,2974,1460,303,346,1027,4,17,66
42101024200,25449,6450,4073,574,444,3574,0,42,13,28234,8451,4230,658,521,3525,0,34,150,22970,5440,4201,643,555,3495,0,36,115,28947,11864,3795,558,481,3080,0,109,125,22773,8058,3383,510,373,2841,0,90,79,22500,9328,3275,438,369,2723,0,94,89
42101024300,34671,5260,4870,826,429,4391,22,18,10,33427,6932,4611,895,501,4064,13,3,30,33220,11763,4164,819,504,3565,58,4,33,24353,3761,3984,737,505,3414,15,16,34,25479,4228,3927,723,506,3358,16,14,33,28823,6575,3275,491,520,2597,30,46,82
42101024400,33878,8991,3543,744,259,3238,0,12,34,33074,4257,3104,1222,135,2937,0,9,23,33733,4490,3143,1074,186,2948,0,0,9,31339,5627,2715,530,140,2538,0,26,11,29153,5875,2598,380,134,2434,0,20,10,26958,6001,2799,414,193,2579,0,22,5
42101024500,26356,7530,3526,573,215,3268,14,10,19,30446,5082,3578,482,222,3296,14,8,38,30255,4644,3443,488,194,3203,15,6,25,27556,7917,3624,468,180,3343,15,58,28,19606,5071,3709,437,281,3340,0,60,28,16474,3105,3615,422,317,3222,0,59,17
42101024600,18881,4109,3124,535,322,2730,3,43,26,19510,5450,2829,480,225,2529,6,44,25,23851,8480,3116,475,237,2819,10,24,26,24268,10046,2947,391,296,2536,0,59,56,23380,13440,3165,355,427,2624,0,58,56,17279,5251,2785,405,271,2403,0,65,46
42101024700,25047,5947,4556,681,411,4086,0,0,59,21765,5969,4589,665,364,4158,0,26,41,20440,4357,4381,638,386,3928,8,25,34,21702,3058,4832,726,337,4266,5,20,204,20755,2748,5020,649,266,4545,8,21,180,19613,2378,4274,646,281,3715,8,20,250
42101024800,36433,10256,2167,390,9,2119,0,21,18,36481,9020,2177,286,16,2110,0,35,16,36707,7331,2213,319,18,2117,0,55,23,38048,3582,2101,231,28,1954,0,73,46,38806,4150,2167,187,43,2049,0,66,9,39917,6404,2205,255,37,2156,0,0,12
42101024900,36667,13832,3406,695,0,3379,0,0,27,30762,10144,3860,631,18,3728,0,75,39,30461,10453,3210,516,24,3128,0,44,14,31838,10342,2886,534,24,2787,0,67,8,29583,11570,3107,586,26,3003,0,71,7,24528,11518,3171,601,30,3055,0,65,21
42101025200,35021,7266,7287,1218,411,6693,3,41,139,34281,5964,7877,1033,494,7197,6,38,142,32081,3309,8204,1091,566,7575,0,43,20,28598,4487,7316,941,569,6689,0,28,30,28177,4441,6591,918,480,6032,15,43,21,31299,4821,7366,869,512,6756,54,0,44
42101025300,29146,8869,3649,616,218,3416,0,0,15,33005,8424,4086,568,271,3663,0,0,152,33568,5706,3981,563,269,3496,0,0,216,33404,4197,3905,430,226,3375,56,54,194,34694,5110,3867,437,268,3250,120,49,180,39353,8339,4180,495,180,3648,127,46,179
42101025400,54250,6621,4177,516,341,3466,52,36,282,52625,6880,4449,396,386,3787,15,35,226,51738,11330,4592,390,273,4031,14,52,222,45602,9132,4242,362,444,3438,30,95,235,50011,11177,4145,411,482,3361,39,109,154,51806,6370,4163,401,450,3445,23,89,156
42101025500,62118,20099,2537,319,777,1667,0,16,77,79808,19005,2885,285,797,2020,0,0,68,70881,14952,3084,475,853,1955,0,25,251,57168,8760,2923,301,751,1925,14,26,207,60755,4880,2950,333,765,1844,28,64,249,60827,4304,2755,304,837,1570,29,73,246
42101025600,66116,7260,2626,274,1326,1026,65,58,151,69004,6043,2816,200,1521,1056,54,61,124,71875,13015,3118,285,1565,1317,62,66,108,74792,18583,2927,246,1526,1250,13,66,72,77500,16095,2912,247,1477,1271,21,74,69,82768,13783,2760,227,1475,1201,22,10,52
42101025700,66774,8973,3319,277,2209,1021,44,6,39,64938,14100,3147,305,2255,756,40,14,82,58841,8695,3407,315,2298,927,76,12,94,55362,9842,3611,335,2207,1075,119,0,210,56225,7047,3464,274,2060,1041,166,0,197,58567,4991,3770,365,1720,1260,322,295,173
42101025800,52900,16501,1695,178,25,1670,0,0,0,57083,13557,1594,191,31,1563,0,0,0,53289,11644,1586,184,30,1552,0,4,0,52042,10500,1564,223,29,1531,0,4,0,57557,7331,1693,248,32,1643,0,5,13,53026,12330,1718,166,67,1623,7,6,15
42101025900,40633,9465,4526,535,211,4148,94,0,73,37472,8599,4439,566,88,4244,42,0,65,40380,9356,4931,628,58,4808,33,0,32,41042,5160,5125,651,58,4901,68,0,98,43115,5996,4830,565,66,4611,68,0,85,42356,9897,4854,624,35,4605,43,0,171
42101026000,49861,13091,2752,411,95,2578,0,0,79,44885,6886,2827,431,140,2668,0,10,9,48056,16936,2783,519,117,2626,0,7,33,58947,8088,2996,309,160,2760,0,20,56,47402,13194,3096,297,155,2750,10,82,99,45821,7395,3047,300,145,2714,9,96,83
42101026100,57977,7210,3003,388,5,2936,1,1,60,53013,8409,2793,336,41,2740,1,1,10,48146,6835,3113,395,74,3027,1,0,11,49156,8099,3340,408,88,3252,0,0,0,47823,8632,3207,423,78,3116,0,12,1,41418,7006,3588,428,147,3429,0,10,2
42101026200,45242,6019,4333,486,94,4171,0,11,57,50093,6872,4695,450,95,4510,0,11,79,51289,5065,4702,416,70,4526,0,10,96,51122,5426,4592,403,79,4461,0,9,43,49804,6167,4449,376,70,4306,0,25,48,47204,8942,4304,398,68,4176,0,17,43
42101026301,46953,7482,3996,364,72,3856,0,0,68,41494,8067,4071,416,66,3917,0,0,88,43081,6038,4124,461,42,4022,0,0,60,40808,4612,4335,543,40,4212,0,0,83,38603,7703,4270,476,29,4162,0,0,79,41002,4507,4007,524,18,3873,1,0,115
42101026302,42513,6421,4834,848,276,4332,49,0,177,41114,7917,5380,762,196,5072,51,0,61,42094,8248,5399,878,329,4985,53,0,32,40152,8521,5978,774,214,5536,142,0,86,35486,10898,5537,663,130,5257,71,0,79,38750,10845,5701,778,98,5425,80,0,98
42101026400,42917,9227,5445,720,177,5255,12,1,0,43542,7876,5350,667,149,5142,13,1,45,37147,15374,5596,802,135,5346,21,1,93,39145,12699,5605,852,71,5373,15,1,145,39732,13011,5753,745,84,5489,1,35,144,41719,16871,5835,746,83,5521,1,35,195
42101026500,45906,5642,4562,725,103,4392,0,22,45,46575,3073,4745,547,65,4617,0,0,63,45978,9359,4957,639,85,4784,0,0,88,36818,8809,4965,661,81,4799,0,0,85,40143,6650,5229,624,64,5077,0,0,88,40709,5350,5106,661,93,4947,0,0,66
42101026600,42785,6878,6419,756,124,6164,0,52,79,44707,6134,6573,813,40,6418,0,11,104,43509,3991,6711,676,42,6548,0,7,114,39500,5635,6464,694,21,6267,0,13,163,42083,5303,6855,787,22,6650,0,14,169,43852,10587,6218,717,23,5973,0,52,170
42101026700,37941,6845,6893,947,280,6344,24,0,245,35558,8570,6470,877,269,6009,0,0,192,32500,7971,7265,847,176,7078,0,0,11,32593,8369,6456,675,154,6287,0,0,15,33637,4746,6722,689,192,6487,0,0,43,28202,9658,6147,611,42,6064,0,0,41
42101026800,33513,6823,5023,520,214,4384,142,129,154,36006,7192,5140,662,209,4553,139,156,83,35842,6452,5010,585,226,4450,231,40,63,34366,5653,5091,575,226,4382,410,0,73,32298,4014,4949,543,245,4285,356,0,63,34365,5719,4554,474,281,3646,285,0,342
42101026900,46786,24096,2097,321,544,1216,91,88,158,46625,15270,2124,309,358,1407,48,129,182,53864,14806,2141,300,408,1415,43,104,171,54783,11765,2255,269,468,1622,34,76,55,53424,11701,2229,293,434,1549,35,121,90,44886,15178,2224,256,483,1484,30,105,122
42101027000,51328,16042,2409,418,420,1674,172,143,0,55436,13251,2254,409,518,1420,170,146,0,51645,12050,2067,337,331,1570,150,16,0,53542,11040,2662,372,304,1952,394,12,0,53750,12047,2818,358,326,2037,364,13,78,58958,15664,2975,318,334,2178,363,20,80
42101027100,44750,9932,2633,285,428,1119,742,239,105,47000,9005,3101,322,315,1985,548,191,62,44241,7082,2905,367,249,1830,569,213,44,43342,4606,2942,294,208,1884,640,155,55,42750,6715,2938,270,146,1863,646,207,76,41114,6504,3106,386,146,1931,695,296,38
42101027200,48048,5936,4773,374,438,3735,507,57,36,47694,5674,4476,389,393,3624,335,85,39,44336,11437,4773,400,358,4041,290,26,58,48045,8809,4719,340,321,3854,461,14,69,48967,9049,4920,401,401,4051,323,11,134,43715,8785,5049,412,461,4031,438,18,101
