geoid,2011 median income,2011 median income margin of error,2011 race: total households,2011 race: total households margin of error,2011 race: White,2011 race: Black,2011 race: Asian,2011 race: Other,2011 race: 2 or more races,2012 median income,2012 median income margin of error,2012 race: total households,2012 race: total households margin of error,2012 race: White,2012 race: Black,2012 race: Asian,2012 race: Other,2012 race: 2 or more races,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races
42101009300,22326,8671,3868,436,117,3692,22,37,0,23264,8712,3717,497,85,3582,20,21,9,21645,5790,3846,459,92,3715,21,10,8,23185,5604,3936,527,105,3758,20,9,44,25591,6194,4215,561,114,4054,0,5,42,26814,3954,4109,607,35,4032,0,0,42
42101009400,19801,2734,3850,443,50,3696,21,0,83,19433,2756,4027,480,34,3878,21,0,94,17939,3010,4139,361,62,3975,19,0,83,16753,3010,4106,366,41,3929,12,28,96,16496,2708,4270,396,58,4079,0,32,101,18408,2838,4123,462,29,3912,0,57,125
42101009500,16786,2710,3339,471,15,3261,0,63,0,17384,6328,3503,534,19,3416,0,68,0,17027,8927,3488,607,30,3350,0,70,38,16383,6444,3205,443,20,3116,0,36,33,21000,7746,3229,559,129,3014,0,55,31,27708,12239,3065,458,164,2819,0,59,23
42101009600,26940,5434,4813,1013,52,4491,41,207,22,20777,4276,4348,760,48,4095,49,138,18,22360,7064,4472,676,50,4297,40,43,42,23125,4080,4319,612,78,4124,52,37,28,23528,3399,4202,555,96,3961,34,79,32,24402,2987,4311,591,83,4078,31,85,34
42101009801,37667,15555,2122,266,534,1566,22,0,0,37361,25736,2232,286,411,1754,28,11,28,41786,11338,2600,269,522,1957,90,6,25,37875,5974,2356,291,409,1813,80,11,43,40897,4906,2430,308,379,1861,80,20,90,42906,5044,2417,298,254,1978,90,18,77
42101009802,48404,7436,5753,474,655,4821,105,47,125,50769,8758,5880,502,645,5001,120,37,77,52583,6218,6132,566,529,5486,62,36,19,53125,7170,5945,505,653,5145,68,0,79,54660,6237,6528,557,611,5775,46,0,96,51646,10770,6445,722,503,5825,27,0,90
42101010000,40536,5842,5067,529,643,4330,57,15,22,39474,6788,5040,572,658,4346,6,0,30,39676,7379,4886,474,546,4258,33,0,49,32011,7967,4810,442,512,4222,34,0,42,31836,7175,4481,426,587,3700,79,57,58,39225,5497,4610,433,590,3842,75,51,52
42101010100,22813,11498,5021,800,32,4890,0,72,27,25764,12023,5173,843,52,4935,0,100,86,27760,12197,5028,889,45,4750,0,125,108,30601,3939,5377,924,509,4616,0,119,133,31149,1516,6569,1025,563,5716,0,87,203,32064,5733,7051,1030,594,6088,0,172,197
42101010200,18669,5274,2734,499,11,2669,0,19,35,16622,5325,2942,495,11,2877,0,24,30,13673,1861,2887,591,13,2835,0,24,15,13183,2890,3037,571,18,2995,0,8,16,15357,3380,2866,382,0,2841,0,9,16,16071,3391,3008,408,0,2975,0,24,9
42101010300,23659,4713,2436,371,24,2412,0,0,0,27321,5788,2503,301,7,2496,0,0,0,28611,4978,2470,376,7,2357,0,106,0,26875,7886,2492,285,7,2320,0,108,57,28486,4866,2538,333,7,2325,39,115,52,24559,5564,2662,367,7,2363,39,174,79
42101010400,33333,13144,3001,502,46,2947,8,0,0,34432,14337,3158,496,67,3085,6,0,0,35978,13144,3065,576,56,2975,6,3,25,28750,8915,3467,617,95,3339,4,4,25,32703,10845,3690,563,177,3458,4,20,31,26731,11462,4058,637,147,3828,0,29,54
42101010500,18291,4065,3677,554,176,3384,0,29,88,16445,5754,3624,495,253,3282,0,3,86,16324,5759,3618,438,243,3283,0,2,90,20967,6513,3989,482,247,3655,0,0,87,14659,5944,4298,407,231,3959,8,8,92,15726,6047,4472,417,259,4029,9,65,110
42101010600,24375,18375,1299,275,49,1202,17,0,31,19770,14347,1411,301,34,1322,31,0,24,16250,4335,1468,271,35,1349,65,0,19,13342,3736,1398,312,74,1273,33,0,18,13482,3303,1466,280,95,1301,70,0,0,14375,3483,1587,307,110,1389,51,0,37
42101010700,18727,4501,3815,622,169,3618,15,13,0,20292,5487,4074,659,230,3653,15,26,150,17684,6679,3803,620,154,3463,5,38,143,16105,6378,3376,453,108,3048,13,67,140,14836,6792,3298,472,66,3059,11,0,162,20840,11924,3738,583,160,3410,11,0,157
42101010800,18503,3914,3543,557,162,3341,17,13,10,14924,3646,3448,593,157,3242,16,14,19,15755,5968,3616,532,191,3392,0,14,19,15392,4829,3627,528,211,3328,0,12,76,14328,4217,3959,445,319,3531,0,18,91,20861,4857,3846,448,329,3388,21,33,75
