"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"1842","176","826","212","458","80","11","17","92","55","0","12","399","151","56","50","0","12","56","50","1400000US24033807304","Census Tract 8073.04, Prince George's County, Maryland"
"3478","379","711","243","1421","331","0","12","452","263","0","12","768","303","126","155","113","154","13","20","1400000US24033807305","Census Tract 8073.05, Prince George's County, Maryland"
"4795","362","2381","321","1198","249","9","16","733","160","0","12","302","302","172","94","90","90","82","62","1400000US24033807404","Census Tract 8074.04, Prince George's County, Maryland"
"6024","428","3118","405","1424","439","0","17","967","249","0","17","328","289","187","100","0","17","187","100","1400000US24033807405","Census Tract 8074.05, Prince George's County, Maryland"
"6476","590","1500","405","2264","438","164","192","1256","372","0","17","1162","572","130","95","81","79","49","59","1400000US24033807407","Census Tract 8074.07, Prince George's County, Maryland"
"5489","385","2710","377","1518","163","0","17","529","285","0","17","205","263","527","321","155","220","372","269","1400000US24033807408","Census Tract 8074.08, Prince George's County, Maryland"
"3969","337","774","350","1637","274","0","12","379","218","0","12","1001","487","178","156","5","10","173","153","1400000US24033807409","Census Tract 8074.09, Prince George's County, Maryland"
"4431","478","524","187","2462","427","5","11","431","297","0","12","822","509","187","137","21","26","166","135","1400000US24033807410","Census Tract 8074.10, Prince George's County, Maryland"
"5120","377","4461","342","80","81","0","17","455","166","10","16","0","17","114","79","0","17","114","79","1400000US51013100100","Census Tract 1001, Arlington County, Virginia"
"6795","474","6053","493","42","55","0","17","352","147","0","17","0","17","348","146","0","17","348","146","1400000US51013100200","Census Tract 1002, Arlington County, Virginia"
"6538","399","5876","435","132","73","0","17","304","138","24","32","88","112","114","105","16","25","98","102","1400000US51013100300","Census Tract 1003, Arlington County, Virginia"
"3820","279","3589","291","10","14","0","12","117","65","16","25","19","27","69","52","0","12","69","52","1400000US51013100400","Census Tract 1004, Arlington County, Virginia"
"4685","375","3774","305","86","102","48","51","189","99","0","12","397","375","191","141","14","17","177","140","1400000US51013100500","Census Tract 1005, Arlington County, Virginia"
"3350","257","2528","318","258","149","8","13","266","173","0","12","201","203","89","74","32","50","57","50","1400000US51013100600","Census Tract 1006, Arlington County, Virginia"
"5519","456","4027","425","178","118","165","147","455","272","0","17","314","386","380","214","11","18","369","212","1400000US51013100700","Census Tract 1007, Arlington County, Virginia"
"1724","242","931","221","331","95","9","13","118","64","5","8","258","193","72","49","11","17","61","46","1400000US51013100800","Census Tract 1008, Arlington County, Virginia"
"4806","320","3791","391","162","123","0","12","340","197","0","12","466","223","47","43","24","36","23","26","1400000US51013100900","Census Tract 1009, Arlington County, Virginia"
"3226","183","2706","215","149","98","0","12","159","100","0","12","94","83","118","81","6","12","112","75","1400000US51013101000","Census Tract 1010, Arlington County, Virginia"
