"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"5209","403","4784","383","66","64","12","20","256","127","0","17","53","59","38","42","0","17","38","42","1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia"
"3685","384","2653","403","295","124","0","12","508","177","0","12","33","38","196","112","37","43","159","106","1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia"
"4817","560","4082","644","358","327","8","16","221","89","0","12","24","25","124","61","6","14","118","61","1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia"
"6095","625","5149","441","363","343","13","20","346","191","0","17","24","40","200","153","91","107","109","92","1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia"
"1578","147","1265","131","89","64","0","12","130","86","0","12","21","28","73","47","0","12","73","47","1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia"
"3502","338","2855","369","155","74","87","91","149","71","0","12","103","139","153","99","18","28","135","95","1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia"
"2973","205","2560","248","124","67","0","12","164","77","0","12","40","38","85","44","11","18","74","38","1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia"
"4722","335","3824","394","475","190","0","12","203","109","0","12","62","86","158","145","78","120","80","63","1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia"
"5245","490","4030","459","357","209","0","17","438","257","0","17","96","102","324","233","33","38","291","228","1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia"
"3316","391","2779","413","175","131","8","15","225","118","0","12","80","81","49","51","14","22","35","44","1400000US11001000702","Census Tract 7.02, District of Columbia, District of Columbia"
"6575","558","5215","527","363","228","19","28","295","104","0","17","336","238","347","163","4","10","343","161","1400000US11001000801","Census Tract 8.01, District of Columbia, District of Columbia"
"3153","305","2350","302","342","218","0","12","289","149","0","12","40","38","132","78","37","41","95","72","1400000US11001000802","Census Tract 8.02, District of Columbia, District of Columbia"
"7790","802","6400","847","630","263","8","14","405","142","0","17","131","83","216","104","13","22","203","105","1400000US11001000901","Census Tract 9.01, District of Columbia, District of Columbia"
"2455","192","2193","193","66","57","0","12","79","45","0","12","30","34","87","56","0","12","87","56","1400000US11001000902","Census Tract 9.02, District of Columbia, District of Columbia"
