"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"4999","503","4552","486","63","63","86","109","230","117","0","12","43","50","25","42","0","12","25","42","1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia"
"3909","495","2924","507","347","122","0","12","474","165","0","12","7","17","157","124","23","31","134","120","1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia"
"4866","618","4266","582","173","97","12","26","258","125","0","12","25","31","132","69","5","12","127","69","1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia"
"5909","644","5200","533","77","78","66","65","341","212","20","35","61","70","144","123","56","89","88","86","1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia"
"1507","187","1274","155","85","59","0","12","111","80","0","12","0","12","37","28","0","12","37","28","1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia"
"3357","456","2720","440","133","76","149","144","210","111","0","12","0","12","145","104","42","46","103","95","1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia"
"3030","219","2621","223","105","54","0","12","154","89","0","12","49","51","101","63","32","40","69","46","1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia"
"4479","345","3756","364","295","118","0","12","264","120","7","19","44","62","113","107","63","93","50","60","1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia"
"4915","433","3963","405","121","81","0","12","571","403","0","12","0","12","260","189","44","55","216","201","1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia"
"3286","306","2727","307","165","114","23","40","118","86","0","12","210","164","43","40","13","22","30","34","1400000US11001000702","Census Tract 7.02, District of Columbia, District of Columbia"
"6517","612","5340","569","402","255","0","17","270","133","0","17","156","175","349","180","5","11","344","178","1400000US11001000801","Census Tract 8.01, District of Columbia, District of Columbia"
"2653","293","2231","215","145","143","0","12","143","150","0","12","10","16","124","101","10","17","114","102","1400000US11001000802","Census Tract 8.02, District of Columbia, District of Columbia"
"7560","666","6351","610","650","270","5","9","287","125","0","17","81","64","186","97","0","17","186","97","1400000US11001000901","Census Tract 9.01, District of Columbia, District of Columbia"
"2134","219","1949","207","43","40","0","12","72","46","0","12","29","33","41","31","0","12","41","31","1400000US11001000902","Census Tract 9.02, District of Columbia, District of Columbia"
"8074","381","6861","405","136","68","0","17","418","169","0","17","5","10","654","249","0","17","654","249","1400000US11001001001","Census Tract 10.01, District of Columbia, District of Columbia"
"3299","499","2660","544","213","100","0","12","359","201","0","12","0","12","67","64","0","12","67","64","1400000US11001001002","Census Tract 10.02, District of Columbia, District of Columbia"
"4343","375","3609","371","394","199","0","12","198","111","0","12","0","12","142","109","0","12","142","109","1400000US11001001100","Census Tract 11, District of Columbia, District of Columbia"
"4985","388","4134","380","226","124","0","12","384","178","0","12","124","98","117","94","15","25","102","83","1400000US11001001200","Census Tract 12, District of Columbia, District of Columbia"
