"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia","2446","193","91.5","3.8","1.2","1.4","0.5","0.9","5.8","3.1","0.0","1.4","0.9","1.5","0.0","1.4","2.7","2.6","89.7","4.1","5.2","2.8","41.5","5.7","34.4","5.5","19.0","3.7","1207","172","41.8","8.0","58.2","8.0","94.1","6.2","5.9","6.2","0.0","2.9","1239","186","58.8","9.2","46.7","10.0","12.0","6.6","41.2","9.2","31.1","8.4","10.2","5.7","30.0","(X)","26.6","(X)","33.3","(X)","170338","19870","188219","36925","-","**","-","**","156048","33004","-","**","-","**","-","**","163958","188070","187969","36429","100283","35468","172365","28194","204185","35257","125938","91010","250,000+","***","250,000+","***","234091","67250","250,000+","***","121278","42517","-","**","101644","11188","102460","39232","77321","54618","163185","76080","100877","23911","86797","39963","102333","83281","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia","4","5","100.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","100.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","100.0","100.0","4","5","0.0","100.0","100.0","100.0","100.0","100.0","0.0","100.0","0.0","100.0","0","12","-","**","-","**","-","**","-","**","-","**","-","**","0.0","(X)","0.0","(X)","-","(X)","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia","1672","159","95.1","2.9","0.7","1.1","0.0","2.1","2.8","2.3","0.0","2.1","0.0","2.1","1.4","1.2","8.9","5.4","86.7","5.9","12.6","5.3","33.1","6.6","31.0","5.3","23.4","4.4","543","82","39.4","8.9","60.6","8.9","87.5","5.4","10.5","5.4","2.0","2.7","1129","176","57.5","7.8","39.1","7.1","18.4","7.7","42.5","7.8","29.1","8.5","13.4","6.7","26.0","(X)","18.8","(X)","28.1","(X)","152256","20082","154113","13957","-","**","-","**","65875","118401","-","**","-","**","56563","71949","165625","178267","153669","16666","33750","20706","165469","32417","185000","40588","130750","30174","205625","46111","213750","35244","205375","99757","217375","72129","130139","65503","-","**","77277","48380","77417","54682","75917","47780","86875","105223","77115","86691","103882","69754","73047","224235","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia","2563","129","87.8","4.8","1.9","1.8","0.0","1.4","7.0","3.6","0.0","1.4","0.7","1.2","2.6","1.9","7.0","4.0","82.9","5.1","7.5","3.8","49.3","5.7","25.6","5.3","17.6","3.9","1007","168","45.2","8.7","54.8","8.7","87.8","6.1","7.1","5.1","5.1","3.8","1556","205","62.4","7.7","45.8","8.1","16.6","5.8","37.6","7.7","19.5","7.3","18.1","7.2","33.3","(X)","30.0","(X)","34.3","(X)","135045","37417","157583","30484","126029","164657","-","**","77045","46347","-","**","-","**","85132","61109","55789","59903","157965","22509","73875","54020","157781","48791","182333","29900","57734","64464","210821","27582","223359","28358","178750","63577","216875","32247","177813","4743","80341","107586","84118","9885","81815","11222","81210","12114","84375","61808","100903","70619","69167","114720","110764","101207","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia","597","66","87.6","6.2","4.0","4.5","0.0","5.7","2.8","2.3","0.0","5.7","0.0","5.7","5.5","3.8","12.7","6.3","74.9","9.2","2.0","2.1","24.6","7.3","44.6","8.2","28.8","6.1","363","51","35.5","8.3","64.5","8.3","91.5","7.3","5.5","7.3","3.0","3.0","234","63","62.4","12.9","45.3","13.3","17.1","10.1","37.6","12.9","20.9","13.9","16.7","10.6","31.0","(X)","25.9","(X)","36.8","(X)","225179","68500","226250","66585","-","**","-","**","70750","41561","-","**","-","**","200875","144381","112292","201933","237604","71923","51250","6973","89904","43809","250,000+","***","200250","51376","250,000+","***","250,000+","***","250,000+","***","250,000+","***","-","**","-","**","70500","20964","55625","25411","55313","33184","70500","41442","104000","61602","59013","9965","205750","205092","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia","1952","145","83.8","5.1","3.2","2.7","5.2","5.4","5.2","3.1","0.0","1.8","0.0","1.8","2.7","2.6","8.8","4.7","78.5","6.0","6.5","3.7","66.2","7.2","18.9","4.3","8.5","4.1","483","137","34.6","11.9","65.4","11.9","85.3","10.9","14.7","10.9","0.0","7.0","1469","170","52.3","9.6","37.0","8.3","15.2","6.9","47.7","9.6","43.8","10.0","3.9","3.1","14.8","(X)","21.9","(X)","11.4","(X)","100109","14487","103788","8590","57206","115658","-","**","78661","104804","-","**","-","**","48472","69533","48472","25833","105938","8428","21149","10156","98281","18216","129615","69328","103833","294801","168550","43949","168350","44872","170263","94860","192778","64118","8583","18689","-","**","90403","19580","102778","17653","90526","39171","109444","28543","67229","24825","66563","20078","128750","68676","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia","1609","113","84.6","5.0","6.2","3.1","0.0","2.1","5.8","4.1","0.0","2.1","0.4","0.7","3.0","2.2","9.7","3.7","77.5","5.7","4.4","2.4","43.4","4.9","33.2","4.5","19.0","3.4","506","74","48.4","8.8","51.6","8.8","97.2","3.0","2.8","3.0","0.0","6.7","1103","115","63.2","6.8","44.6","8.3","18.6","7.3","36.8","6.8","24.0","6.2","12.8","5.0","22.4","(X)","16.0","(X)","25.4","(X)","113688","13958","126273","8600","65804","20715","-","**","52750","234727","-","**","-","**","65192","31206","67115","38873","127250","6963","51705","42123","117946","15841","154167","44172","74803","25640","250000","38547","250,000+","***","201719","41743","250,000+","***","-","**","-","**","79028","27501","83355","38445","54565","11760","112563","9772","77417","29271","65288","38480","127260","39065","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia","2126","132","83.3","5.9","8.9","5.7","0.0","1.6","6.2","3.2","0.0","1.6","0.8","1.2","0.8","1.5","10.2","5.0","78.1","6.1","3.3","2.8","35.7","5.8","41.1","5.7","19.9","3.4","855","108","43.2","8.9","56.8","8.9","87.0","6.5","11.3","6.2","1.6","2.5","1271","157","57.0","10.7","39.4","10.3","17.5","9.8","43.0","10.7","28.8","9.0","14.2","9.0","22.2","(X)","17.5","(X)","24.5","(X)","155031","27778","154491","26648","250,000+","***","-","**","94185","47382","-","**","-","**","-","**","156544","103911","154676","24756","4517","15643","113894","31453","173250","58363","159896","79856","250,000+","***","250,000+","***","239537","29028","250,000+","***","122721","40775","-","**","101917","19751","94348","34031","103221","49293","93533","58715","102702","26469","100000","15464","250,000+","***","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia","3435","178","85.0","4.5","2.8","1.8","0.0","1.0","7.5","2.8","0.0","1.0","1.2","1.8","3.5","2.6","7.0","3.5","80.2","5.4","1.8","1.3","39.0","6.2","26.1","5.8","33.2","4.3","1006","196","33.1","12.6","66.9","12.6","89.9","7.4","10.1","7.4","0.0","3.4","2429","212","76.3","6.6","71.2","7.7","5.1","3.3","23.7","6.6","21.9","6.4","1.8","1.8","22.4","(X)","23.8","(X)","21.9","(X)","78040","15034","81352","14853","30313","35059","-","**","40842","18991","-","**","-","**","80844","21263","118095","31299","81122","16317","14773","83119","56083","12656","118750","21275","81181","33820","126000","30644","125321","96617","129327","38310","127286","33104","68750","91832","-","**","62898","14984","69554","20986","69464","20741","95139","151904","41071","13808","40198","15986","235667","249948","(X)","(X)","(X)","(X)","(X)","(X)"
