"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia","2453","186","90.5","4.4","0.4","0.7","1.1","1.4","4.9","3.4","0.0","1.5","2.0","3.1","0.9","1.4","4.8","3.8","87.8","5.0","5.2","2.7","40.1","4.8","31.1","4.8","23.5","4.7","1121","174","40.8","11.8","59.2","11.8","93.1","7.0","2.4","2.8","4.5","6.6","1332","175","60.0","7.6","47.6","8.1","12.4","6.0","40.0","7.6","30.0","6.6","10.1","5.2","30.5","(X)","25.8","(X)","34.4","(X)","134712","31202","155234","40615","-","**","2,500-","***","123299","54638","-","**","-","**","-","**","56012","54322","158036","46034","84643","52298","160750","38456","180833","61405","108750","39447","250,000+","***","250,000+","***","250,000+","***","250,000+","***","122589","179044","-","**","88864","21813","98918","27940","85500","51702","99303","35649","83164","13987","76250","13096","105000","109576","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia","0","13","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","13","-","**","-","**","-","**","-","**","-","**","0","13","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","-","(X)","-","(X)","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia","1834","126","95.8","2.5","1.1","1.3","0.0","2.0","2.3","1.9","0.0","2.0","0.0","2.0","0.8","0.9","5.1","3.3","90.7","3.9","11.1","4.2","39.6","6.0","32.7","5.6","16.7","3.0","643","112","37.6","8.1","62.4","8.1","88.6","6.8","11.2","6.7","0.2","0.9","1191","139","44.7","7.7","28.5","7.4","16.1","6.5","55.3","7.7","32.7","8.9","22.6","8.0","25.1","(X)","20.4","(X)","25.7","(X)","141603","20984","145436","15188","85417","160323","-","**","44773","197526","-","**","-","**","29844","163106","210288","204303","145095","18668","25817","25104","145568","26432","174493","27568","121081","25704","220134","43790","209118","39922","235605","96749","221339","36774","173750","99645","-","**","74938","50908","83864","52596","115962","37566","60703","34531","73375","64559","86667","76003","49861","112772","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia","2466","161","88.0","4.3","3.4","3.4","0.5","0.7","5.3","2.9","0.0","1.5","0.9","1.1","1.9","1.8","6.4","3.7","84.6","4.8","7.8","4.0","48.6","6.1","26.2","5.4","17.5","3.9","1025","169","47.3","10.3","52.7","10.3","84.9","8.0","9.1","7.3","6.0","4.0","1441","215","62.8","9.0","47.1","10.1","15.8","6.8","37.2","9.0","22.5","7.8","14.7","7.6","26.3","(X)","24.7","(X)","26.6","(X)","105500","27494","116500","38740","17100","19478","-","**","79333","21747","-","**","57054","391320","83897","104100","56161","63949","118083","39826","33824","15975","134000","65108","139896","42716","51875","77989","187279","31345","185368","39876","192895","53303","195938","30707","156821","20797","89231","238244","57263","14870","65703","22727","56528","20432","73831","12311","55192","16682","50139","12661","87292","49723","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia","612","51","86.4","8.0","3.6","3.8","0.0","5.9","7.4","7.1","0.0","5.9","0.0","5.9","2.6","2.4","8.7","5.7","77.8","9.1","1.6","1.9","36.1","7.7","33.0","8.2","29.2","6.7","417","63","26.6","10.1","73.4","10.1","92.3","6.4","5.5","5.7","2.2","3.1","195","58","64.1","16.5","39.5","17.2","24.6","14.4","35.9","16.5","15.9","12.9","20.0","14.3","28.6","(X)","29.3","(X)","27.2","(X)","195938","73545","236146","71281","250,000+","***","-","**","39635","94095","-","**","-","**","137500","190787","138250","168275","243750","68510","52917","18556","108203","36515","250,000+","***","167458","128457","250,000+","***","250,000+","***","194138","64798","231250","88148","250,000+","***","250,000+","***","59313","38725","53542","27389","38698","9806","74286","377659","105909","172145","57768","88692","236771","55061","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia","1988","142","86.2","7.1","2.1","2.3","5.2","5.6","4.7","3.5","0.0","1.9","0.0","1.9","1.8","2.0","7.8","4.2","80.2","7.1","10.3","4.7","63.0","7.4","20.0","4.3","6.8","3.9","347","105","22.2","15.0","77.8","15.0","89.6","11.0","10.4","11.0","0.0","10.2","1641","152","51.0","9.1","38.9","8.8","12.1","4.7","49.0","9.1","40.8","10.1","8.2","4.7","12.8","(X)","13.5","(X)","12.6","(X)","80900","15573","88732","12194","27228","250073","35934","14479","80850","18086","-","**","-","**","44868","156343","108125","146605","88556","12563","37031","39279","88063","12463","115729","25933","35625","18348","138447","13931","191250","92487","133906","23622","139811","20778","17857","22627","-","**","75568","14437","79010","23707","57417","31587","105408","9543","71964","18140","71071","18689","79286","56567","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia","1662","97","84.4","6.0","4.9","2.7","0.0","2.2","7.3","5.1","0.0","2.2","0.0","2.2","3.3","2.5","5.4","3.0","80.4","6.6","6.1","3.2","42.4","4.9","32.3","4.6","19.3","3.1","537","84","47.5","8.7","52.5","8.7","98.1","2.7","1.9","2.7","0.0","6.7","1125","119","57.6","8.6","43.0","8.5","14.6","6.7","42.4","8.6","30.7","8.9","11.7","5.8","20.3","(X)","14.9","(X)","22.8","(X)","108182","23772","119931","20348","74000","120510","-","**","83529","164044","-","**","-","**","92750","61038","68984","75424","121250","17546","50313","28354","107297","19595","157778","35285","129327","36600","240481","38094","250,000+","***","214063","31184","241442","40122","-","**","-","**","70208","14687","59091","38984","53243","5697","105882","6519","72837","12367","64063","30237","122308","27676","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia","2070","124","86.3","5.1","3.3","3.0","0.0","1.8","7.0","4.3","0.0","0.5","0.9","1.3","2.5","3.0","6.6","4.1","81.3","5.9","3.0","2.3","34.9","5.4","37.9","4.9","24.2","4.9","847","131","39.7","8.5","60.3","8.5","92.4","5.8","7.6","5.8","0.0","4.3","1223","161","66.6","8.8","47.3","10.1","19.4","8.6","33.4","8.8","27.2","8.0","6.1","5.2","19.9","(X)","15.7","(X)","22.2","(X)","120045","13869","122227","9091","52500","223729","-","**","92847","31179","-","**","250,000+","***","79357","255971","17266","130289","124157","15024","2,500-","***","99727","8222","170690","80481","100521","54572","250,000+","***","250,000+","***","231083","98974","250,000+","***","120625","66875","-","**","82234","26118","82470","28651","98047","39515","81806","29847","81750","29328","92639","28505","42049","192582","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia","2958","184","85.3","4.7","4.4","3.2","0.0","1.3","6.3","3.6","0.0","1.3","0.0","1.3","4.0","2.1","6.5","3.5","79.3","5.4","3.3","2.4","40.7","5.8","29.2","4.5","26.8","4.2","813","161","23.9","8.9","76.1","8.9","91.8","9.3","8.2","9.3","0.0","4.5","2145","222","68.6","6.8","64.0","7.0","4.6","2.7","31.4","6.8","26.8","6.3","4.7","4.1","20.4","(X)","26.2","(X)","18.1","(X)","82379","9172","84668","15174","52697","14909","-","**","37250","66621","-","**","-","**","90539","36629","95917","54885","84715","15612","39107","6780","75492","23755","107266","49642","106016","34779","95096","22079","66750","37566","107109","38527","98056","21259","65958","19766","-","**","80903","6216","81286","5921","80906","5583","92386","26465","80078","28848","65441","28172","102119","245919","(X)","(X)","(X)","(X)","(X)","(X)"
