"GEO_ID","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Geographic Area Name"
"1400000US11001007000","2248","333","1900","300","253","129","0","132","17","20","0","132","78","109","0","132","0","132","0","132","Census Tract 70, District of Columbia, District of Columbia"
"1400000US11001007100","3344","462","842","284","2352","401","0","132","67","47","0","132","10","17","73","77","37","62","36","44","Census Tract 71, District of Columbia, District of Columbia"
"1400000US11001007200","1201","252","421","115","683","227","0","132","81","64","0","132","0","132","16","23","0","132","16","23","Census Tract 72, District of Columbia, District of Columbia"
"1400000US11001007301","2664","532","1718","442","561","192","0","132","121","116","0","132","145","121","119","68","27","44","92","64","Census Tract 73.01, District of Columbia, District of Columbia"
"1400000US11001007304","3562","542","20","34","3533","530","0","132","0","132","0","132","0","132","9","14","0","132","9","14","Census Tract 73.04, District of Columbia, District of Columbia"
"1400000US11001007401","2242","416","125","152","2106","449","0","132","0","132","0","132","0","132","11","17","0","132","11","17","Census Tract 74.01, District of Columbia, District of Columbia"
"1400000US11001007403","2768","419","13","20","2755","416","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 74.03, District of Columbia, District of Columbia"
"1400000US11001007404","3322","384","38","31","3284","388","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 74.04, District of Columbia, District of Columbia"
"1400000US11001007406","3173","477","0","132","3173","477","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 74.06, District of Columbia, District of Columbia"
"1400000US11001007407","2976","422","9","16","2967","423","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 74.07, District of Columbia, District of Columbia"
