"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"5005","401","4645","416","53","64","0","17","199","93","0","17","24","38","84","89","0","17","84","89","1400000US11001000100","Census Tract 1, District of Columbia, District of Columbia"
"3733","361","2607","359","309","110","0","12","574","181","0","12","23","33","220","117","36","41","184","114","1400000US11001000201","Census Tract 2.01, District of Columbia, District of Columbia"
"4417","556","3659","449","341","300","10","21","266","96","0","12","20","29","121","100","8","19","113","98","1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia"
"6139","632","5074","473","413","363","18","28","444","234","0","17","0","17","190","135","87","102","103","90","1400000US11001000300","Census Tract 3, District of Columbia, District of Columbia"
"1607","159","1269","150","79","47","0","12","149","88","0","12","28","34","82","55","0","12","82","55","1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia"
"3481","286","2897","290","108","57","62","75","146","68","0","12","165","186","103","78","32","35","71","69","1400000US11001000501","Census Tract 5.01, District of Columbia, District of Columbia"
"3045","195","2612","250","103","67","16","26","166","84","0","12","34","31","114","48","13","19","101","47","1400000US11001000502","Census Tract 5.02, District of Columbia, District of Columbia"
"4848","317","4017","309","406","165","0","12","232","137","0","12","46","73","147","126","52","85","95","89","1400000US11001000600","Census Tract 6, District of Columbia, District of Columbia"
"5325","489","4298","509","349","240","27","40","247","174","0","17","100","108","304","214","33","39","271","210","1400000US11001000701","Census Tract 7.01, District of Columbia, District of Columbia"
"3356","331","2573","329","283","149","20","32","246","103","0","12","104","59","130","96","37","41","93","86","1400000US11001000702","Census Tract 7.02, District of Columbia, District of Columbia"
"6740","599","5389","500","464","298","24","34","326","128","0","17","217","140","320","156","21","27","299","154","1400000US11001000801","Census Tract 8.01, District of Columbia, District of Columbia"
"3213","350","2525","346","244","122","0","12","295","148","0","12","38","34","111","64","39","42","72","46","1400000US11001000802","Census Tract 8.02, District of Columbia, District of Columbia"
"7698","414","6062","395","637","278","9","14","547","160","0","17","135","97","308","119","26","33","282","121","1400000US11001000901","Census Tract 9.01, District of Columbia, District of Columbia"
"2467","182","2156","188","82","56","0","12","86","46","0","12","32","38","111","52","0","12","111","52","1400000US11001000902","Census Tract 9.02, District of Columbia, District of Columbia"
"7923","501","6631","511","232","120","0","17","433","159","0","17","75","92","552","235","0","17","552","235","1400000US11001001001","Census Tract 10.01, District of Columbia, District of Columbia"
"3761","426","3084","462","197","100","0","12","328","200","0","12","19","31","133","84","0","12","133","84","1400000US11001001002","Census Tract 10.02, District of Columbia, District of Columbia"
"5016","281","4025","334","469","203","70","89","296","75","0","17","38","65","118","114","15","25","103","110","1400000US11001001100","Census Tract 11, District of Columbia, District of Columbia"
"4950","457","4061","464","308","208","0","12","236","84","0","12","70","87","275","172","25","34","250","152","1400000US11001001200","Census Tract 12, District of Columbia, District of Columbia"
"3831","357","3111","337","480","204","0","12","206","89","0","12","0","12","34","37","0","12","34","37","1400000US11001001301","Census Tract 13.01, District of Columbia, District of Columbia"
"7366","621","5392","618","741","444","0","17","727","269","0","17","327","215","179","173","22","37","157","171","1400000US11001001302","Census Tract 13.02, District of Columbia, District of Columbia"
"3340","242","2718","290","306","123","16","19","171","91","0","12","42","48","87","56","0","12","87","56","1400000US11001001401","Census Tract 14.01, District of Columbia, District of Columbia"
"3250","260","2509","224","302","105","38","56","226","117","0","12","60","56","115","81","0","12","115","81","1400000US11001001402","Census Tract 14.02, District of Columbia, District of Columbia"
"6268","483","5141","378","692","349","0","17","134","80","0","17","23","38","278","188","0","17","278","188","1400000US11001001500","Census Tract 15, District of Columbia, District of Columbia"
"4455","330","1313","152","2969","370","0","12","26","32","0","12","37","36","110","59","22","24","88","49","1400000US11001001600","Census Tract 16, District of Columbia, District of Columbia"
"3039","288","1339","146","1397","191","0","12","35","35","10","16","170","218","88","57","4","11","84","58","1400000US11001001702","Census Tract 17.02, District of Columbia, District of Columbia"
"4059","376","376","130","2543","328","11","21","14","19","0","12","914","307","201","199","21","23","180","197","1400000US11001001803","Census Tract 18.03, District of Columbia, District of Columbia"
"5682","632","902","491","3762","470","41","64","78","109","0","17","887","422","12","18","0","17","12","18","1400000US11001001804","Census Tract 18.04, District of Columbia, District of Columbia"
"3981","391","747","223","2697","321","0","12","166","168","0","12","315","301","56","46","0","12","56","46","1400000US11001001901","Census Tract 19.01, District of Columbia, District of Columbia"
"2343","220","402","169","1675","252","3","7","22","16","0","12","121","107","120","62","5","9","115","60","1400000US11001001902","Census Tract 19.02, District of Columbia, District of Columbia"
"2959","346","769","188","1361","271","77","101","21","25","0","12","692","277","39","34","6","10","33","32","1400000US11001002001","Census Tract 20.01, District of Columbia, District of Columbia"
"3934","541","1101","305","2131","468","0","12","73","60","0","12","513","298","116","67","28","42","88","66","1400000US11001002002","Census Tract 20.02, District of Columbia, District of Columbia"
"5660","630","435","216","3854","758","309","467","190","135","0","17","839","654","33","47","0","17","33","47","1400000US11001002101","Census Tract 21.01, District of Columbia, District of Columbia"
"5076","391","565","157","3586","357","57","39","34","33","0","17","728","296","106","57","0","17","106","57","1400000US11001002102","Census Tract 21.02, District of Columbia, District of Columbia"
"3641","391","620","210","2466","359","7","13","81","67","0","12","415","179","52","42","0","12","52","42","1400000US11001002201","Census Tract 22.01, District of Columbia, District of Columbia"
"3845","517","411","155","2329","506","4","8","96","115","0","12","926","273","79","62","0","12","79","62","1400000US11001002202","Census Tract 22.02, District of Columbia, District of Columbia"
"3379","349","831","198","1972","315","0","12","73","51","0","12","343","224","160","105","15","23","145","103","1400000US11001002301","Census Tract 23.01, District of Columbia, District of Columbia"
"1722","247","743","270","761","216","0","12","103","101","0","12","62","58","53","43","0","12","53","43","1400000US11001002302","Census Tract 23.02, District of Columbia, District of Columbia"
"4298","440","1219","186","2207","246","20","28","98","49","0","12","564","380","190","82","14","21","176","81","1400000US11001002400","Census Tract 24, District of Columbia, District of Columbia"
"2986","324","996","220","1364","239","0","12","32","26","0","12","443","283","151","74","47","49","104","53","1400000US11001002501","Census Tract 25.01, District of Columbia, District of Columbia"
"6042","642","1538","405","2892","902","8","18","226","118","0","17","1187","585","191","100","43","49","148","89","1400000US11001002502","Census Tract 25.02, District of Columbia, District of Columbia"
"2627","168","1260","130","1017","113","18","20","109","66","22","35","104","66","97","57","0","12","97","57","1400000US11001002600","Census Tract 26, District of Columbia, District of Columbia"
"5856","656","3483","517","1001","352","40","50","129","66","0","17","819","580","384","182","71","104","313","182","1400000US11001002701","Census Tract 27.01, District of Columbia, District of Columbia"
"6376","631","4629","534","906","420","0","17","146","101","0","17","362","319","333","265","96","119","237","159","1400000US11001002702","Census Tract 27.02, District of Columbia, District of Columbia"
"3882","405","1212","330","1605","340","0","12","178","119","0","12","793","400","94","72","58","61","36","33","1400000US11001002801","Census Tract 28.01, District of Columbia, District of Columbia"
"4514","417","1884","438","1128","179","3","6","321","130","0","12","1130","452","48","35","8","13","40","33","1400000US11001002802","Census Tract 28.02, District of Columbia, District of Columbia"
"4352","459","2049","260","1253","316","0","12","127","70","0","12","745","287","178","88","51","58","127","70","1400000US11001002900","Census Tract 29, District of Columbia, District of Columbia"
"3356","340","1568","236","1562","280","8","13","88","61","0","12","86","75","44","33","19","22","25","27","1400000US11001003000","Census Tract 30, District of Columbia, District of Columbia"
"3176","360","1295","292","941","131","11","17","279","201","0","12","546","274","104","79","0","12","104","79","1400000US11001003100","Census Tract 31, District of Columbia, District of Columbia"
"5078","578","1734","382","2500","443","0","17","223","116","0","17","585","307","36","35","27","33","9","14","1400000US11001003200","Census Tract 32, District of Columbia, District of Columbia"
"3922","417","1748","351","1750","316","0","12","110","67","0","12","159","125","155","83","5","11","150","83","1400000US11001003301","Census Tract 33.01, District of Columbia, District of Columbia"
"2213","244","1073","141","919","230","2","4","100","37","0","12","65","69","54","32","0","12","54","32","1400000US11001003302","Census Tract 33.02, District of Columbia, District of Columbia"
"4723","440","1260","258","3104","512","0","12","92","58","0","12","117","135","150","73","45","50","105","49","1400000US11001003400","Census Tract 34, District of Columbia, District of Columbia"
"5440","403","1059","209","3941","395","0","17","292","150","0","17","52","58","96","45","0","17","96","45","1400000US11001003500","Census Tract 35, District of Columbia, District of Columbia"
"5123","561","2500","395","1650","373","0","17","419","228","0","17","366","133","188","129","0","17","188","129","1400000US11001003600","Census Tract 36, District of Columbia, District of Columbia"
"5859","577","2682","495","2239","560","14","23","293","174","0","17","556","350","75","71","0","17","75","71","1400000US11001003700","Census Tract 37, District of Columbia, District of Columbia"
"5038","347","3729","357","700","210","0","17","273","146","54","80","107","104","175","129","11","18","164","127","1400000US11001003800","Census Tract 38, District of Columbia, District of Columbia"
"4479","401","3516","384","557","143","21","34","235","118","0","12","0","12","150","98","25","40","125","76","1400000US11001003900","Census Tract 39, District of Columbia, District of Columbia"
"4310","439","3463","482","227","165","0","12","200","115","62","87","287","104","71","66","36","54","35","44","1400000US11001004001","Census Tract 40.01, District of Columbia, District of Columbia"
"3137","235","2707","248","208","140","0","12","160","68","0","12","12","14","50","34","0","12","50","34","1400000US11001004002","Census Tract 40.02, District of Columbia, District of Columbia"
"2749","256","2274","276","104","99","0","12","184","79","0","12","115","131","72","45","19","24","53","39","1400000US11001004100","Census Tract 41, District of Columbia, District of Columbia"
"3709","366","3085","311","241","121","0","12","140","75","0","12","98","134","145","111","27","41","118","104","1400000US11001004201","Census Tract 42.01, District of Columbia, District of Columbia"
"2492","249","2047","268","67","54","6","10","179","70","0","12","85","69","108","58","20","30","88","45","1400000US11001004202","Census Tract 42.02, District of Columbia, District of Columbia"
"3918","389","2343","325","1043","201","0","12","94","58","0","12","261","148","177","121","53","98","124","90","1400000US11001004300","Census Tract 43, District of Columbia, District of Columbia"
"5551","427","3905","424","941","332","0","17","271","110","0","17","73","78","361","322","73","67","288","311","1400000US11001004400","Census Tract 44, District of Columbia, District of Columbia"
"2833","328","1106","239","1536","347","0","12","110","69","0","12","41","86","40","41","0","12","40","41","1400000US11001004600","Census Tract 46, District of Columbia, District of Columbia"
"4854","553","918","226","3297","546","0","12","453","138","0","12","21","32","165","146","0","12","165","146","1400000US11001004701","Census Tract 47.01, District of Columbia, District of Columbia"
"2875","279","1491","145","1075","270","0","12","144","45","0","12","100","80","65","35","0","12","65","35","1400000US11001004702","Census Tract 47.02, District of Columbia, District of Columbia"
"2560","290","1137","156","1063","195","0","12","198","95","0","12","70","89","92","67","9","15","83","65","1400000US11001004801","Census Tract 48.01, District of Columbia, District of Columbia"
"3540","383","1134","227","1741","355","0","12","382","183","0","12","192","270","91","52","0","12","91","52","1400000US11001004802","Census Tract 48.02, District of Columbia, District of Columbia"
"2826","297","1235","187","1088","260","0","12","177","119","0","12","222","196","104","61","46","49","58","42","1400000US11001004901","Census Tract 49.01, District of Columbia, District of Columbia"
"3155","396","1507","237","639","268","12","19","305","127","0","12","556","381","136","101","83","94","53","33","1400000US11001004902","Census Tract 49.02, District of Columbia, District of Columbia"
"2076","252","1491","168","279","200","0","12","116","47","0","12","42","36","148","91","5","7","143","90","1400000US11001005001","Census Tract 50.01, District of Columbia, District of Columbia"
"5971","573","3042","351","1135","258","33","41","437","145","27","44","992","559","305","177","78","94","227","163","1400000US11001005002","Census Tract 50.02, District of Columbia, District of Columbia"
"6205","572","4830","499","266","142","30","43","455","221","0","17","225","200","399","263","128","201","271","167","1400000US11001005201","Census Tract 52.01, District of Columbia, District of Columbia"
"4990","361","4229","356","127","91","22","25","416","136","0","12","0","12","196","101","53","52","143","70","1400000US11001005301","Census Tract 53.01, District of Columbia, District of Columbia"
"6780","706","5325","646","414","213","43","67","620","219","0","17","173","147","205","130","54","70","151","111","1400000US11001005500","Census Tract 55, District of Columbia, District of Columbia"
"6684","530","4969","567","486","207","16","24","699","203","0","17","238","178","276","145","76","96","200","113","1400000US11001005600","Census Tract 56, District of Columbia, District of Columbia"
"2769","332","1880","206","224","240","0","12","557","139","0","12","15","12","93","59","0","12","93","59","1400000US11001005800","Census Tract 58, District of Columbia, District of Columbia"
"2760","292","1610","245","530","136","0","12","347","139","0","12","172","107","101","64","0","12","101","64","1400000US11001005900","Census Tract 59, District of Columbia, District of Columbia"
"65","106","65","106","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US11001006202","Census Tract 62.02, District of Columbia, District of Columbia"
"2455","302","273","105","2101","291","9","16","43","45","0","12","14","20","15","22","0","12","15","22","1400000US11001006400","Census Tract 64, District of Columbia, District of Columbia"
"2569","306","2158","284","306","179","0","12","48","48","0","12","0","12","57","35","0","12","57","35","1400000US11001006500","Census Tract 65, District of Columbia, District of Columbia"
"2027","204","1765","210","68","51","50","73","89","71","0","12","8","15","47","49","8","13","39","45","1400000US11001006600","Census Tract 66, District of Columbia, District of Columbia"
"4184","224","3395","224","564","73","0","12","136","77","0","12","18","25","71","44","12","22","59","36","1400000US11001006700","Census Tract 67, District of Columbia, District of Columbia"
"2142","170","892","126","1075","178","4","8","72","31","0","12","36","28","63","39","0","12","63","39","1400000US11001006801","Census Tract 68.01, District of Columbia, District of Columbia"
"2488","198","1392","182","877","146","8","12","47","32","0","12","35","25","129","62","0","12","129","62","1400000US11001006802","Census Tract 68.02, District of Columbia, District of Columbia"
"2803","288","189","106","2483","242","4","8","0","12","0","12","82","62","45","43","5","12","40","43","1400000US11001006804","Census Tract 68.04, District of Columbia, District of Columbia"
"2220","194","1608","178","495","102","0","12","41","30","0","12","0","12","76","58","8","13","68","57","1400000US11001006900","Census Tract 69, District of Columbia, District of Columbia"
