"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"7190","404","5883","496","151","150","0","17","747","161","43","65","105","99","261","187","151","166","110","91","1400000US36001013506","Census Tract 135.06, Albany County, New York"
"2242","182","1631","220","104","79","5","8","259","109","0","12","75","76","168","146","0","12","168","146","1400000US36001013507","Census Tract 135.07, Albany County, New York"
"6974","430","5590","544","282","94","72","102","947","356","0","17","0","17","83","66","0","17","83","66","1400000US36001013508","Census Tract 135.08, Albany County, New York"
"9179","494","7161","481","784","257","30","38","882","181","6","12","117","70","199","94","53","56","146","71","1400000US36001013601","Census Tract 136.01, Albany County, New York"
"4395","297","2373","349","726","258","0","12","792","395","50","76","17","27","437","340","12","22","425","340","1400000US36001013602","Census Tract 136.02, Albany County, New York"
"2393","202","1696","167","482","152","0","12","153","119","0","12","35","42","27","29","0","12","27","29","1400000US36001013703","Census Tract 137.03, Albany County, New York"
"6442","441","5459","409","368","232","10","17","362","104","0","17","27","45","216","192","0","17","216","192","1400000US36001013705","Census Tract 137.05, Albany County, New York"
"2080","122","2004","127","5","8","0","12","33","37","0","12","0","12","38","52","0","12","38","52","1400000US36001013706","Census Tract 137.06, Albany County, New York"
"5972","480","5030","446","139","124","0","17","501","225","0","17","0","17","302","160","27","45","275","162","1400000US36001013707","Census Tract 137.07, Albany County, New York"
"7154","487","5732","449","693","251","0","17","395","195","0","17","31","49","303","226","8","17","295","225","1400000US36001013801","Census Tract 138.01, Albany County, New York"
"4109","324","3700","344","130","110","0","12","203","96","0","12","0","12","76","71","0","12","76","71","1400000US36001013802","Census Tract 138.02, Albany County, New York"
"2336","162","1911","196","94","77","24","29","243","157","0","12","14","16","50","37","0","12","50","37","1400000US36001013901","Census Tract 139.01, Albany County, New York"
"5401","168","4377","258","223","173","0","17","623","214","0","17","21","36","157","112","0","17","157","112","1400000US36001013902","Census Tract 139.02, Albany County, New York"
"4072","352","2765","305","344","117","19","20","806","251","0","12","19","30","119","69","20","32","99","62","1400000US36001014001","Census Tract 140.01, Albany County, New York"
"5170","544","4432","589","245","214","0","17","121","109","0","17","22","28","350","178","30","48","320","174","1400000US36001014002","Census Tract 140.02, Albany County, New York"
"5318","318","4789","375","89","91","9","15","327","127","0","17","0","17","104","78","21","32","83","69","1400000US36001014100","Census Tract 141, Albany County, New York"
"5831","338","5172","413","79","67","0","17","475","222","0","17","16","26","89","67","0","17","89","67","1400000US36001014201","Census Tract 142.01, Albany County, New York"
"5824","401","5502","434","145","132","0","17","88","57","0","17","40","55","49","49","11","15","38","46","1400000US36001014202","Census Tract 142.02, Albany County, New York"
"6499","367","6021","407","179","173","0","17","173","181","0","17","57","67","69","54","0","17","69","54","1400000US36001014203","Census Tract 142.03, Albany County, New York"
"3088","405","2713","382","308","183","5","9","0","12","0","12","0","12","62","57","0","12","62","57","1400000US36001014301","Census Tract 143.01, Albany County, New York"
"8386","372","7749","389","55","65","0","17","466","108","0","17","11","17","105","95","0","17","105","95","1400000US36001014302","Census Tract 143.02, Albany County, New York"
"4119","28","4035","78","6","11","0","12","0","12","0","12","0","12","78","79","0","12","78","79","1400000US36001014401","Census Tract 144.01, Albany County, New York"
"3210","15","3048","81","134","76","0","12","0","12","0","12","0","12","28","30","0","12","28","30","1400000US36001014402","Census Tract 144.02, Albany County, New York"
"2574","219","2470","238","0","12","0","12","47","39","0","12","0","12","57","45","13","24","44","39","1400000US36001014501","Census Tract 145.01, Albany County, New York"
"3329","218","3198","233","0","12","0","12","81","97","0","12","11","18","39","34","0","12","39","34","1400000US36001014502","Census Tract 145.02, Albany County, New York"
"2801","29","2715","62","32","26","0","12","26","30","0","12","0","12","28","23","0","12","28","23","1400000US36001014503","Census Tract 145.03, Albany County, New York"
"3627","275","3334","285","44","39","0","12","168","99","0","12","8","16","73","57","0","12","73","57","1400000US36001014606","Census Tract 146.06, Albany County, New York"
"8070","398","7112","516","486","331","0","17","427","97","0","17","21","31","24","29","0","17","24","29","1400000US36001014607","Census Tract 146.07, Albany County, New York"
"4211","322","3234","268","373","106","0","12","323","142","0","12","107","54","174","115","40","35","134","116","1400000US36001014608","Census Tract 146.08, Albany County, New York"
"4596","264","3773","321","150","97","0","12","454","209","0","12","0","12","219","157","0","12","219","157","1400000US36001014609","Census Tract 146.09, Albany County, New York"
"2151","173","1896","172","27","37","3","7","180","79","0","12","8","12","37","34","1","2","36","34","1400000US36001014611","Census Tract 146.11, Albany County, New York"
"1665","153","1520","140","22","17","0","12","83","77","0","12","12","13","28","34","0","12","28","34","1400000US36001014612","Census Tract 146.12, Albany County, New York"
"3046","230","2733","278","203","164","0","12","10","15","0","12","0","12","100","76","0","12","100","76","1400000US36001014613","Census Tract 146.13, Albany County, New York"
"5502","327","4454","374","75","60","0","17","755","278","0","17","133","175","85","84","19","32","66","77","1400000US36001014614","Census Tract 146.14, Albany County, New York"
"2828","369","1835","308","130","82","0","12","800","295","0","12","34","29","29","30","13","18","16","26","1400000US36001014615","Census Tract 146.15, Albany County, New York"
"2839","142","2821","145","8","9","8","12","2","5","0","12","0","12","0","12","0","12","0","12","1400000US36001014700","Census Tract 147, Albany County, New York"
"2797","18","2695","55","12","15","0","12","36","32","0","12","0","12","54","37","5","8","49","32","1400000US36001014801","Census Tract 148.01, Albany County, New York"
"1679","137","1650","141","18","15","0","12","0","12","0","12","0","12","11","8","0","12","11","8","1400000US36001014802","Census Tract 148.02, Albany County, New York"
"3325","15","3284","56","1","3","0","12","10","16","0","12","30","52","0","12","0","12","0","12","1400000US36001014803","Census Tract 148.03, Albany County, New York"
"2","3","1","2","0","12","0","12","0","12","0","12","0","12","1","2","0","12","1","2","1400000US36003940200","Census Tract 9402, Allegany County, New York"
"2290","130","2268","130","0","12","0","12","11","9","6","9","0","12","5","8","0","12","5","8","1400000US36003950100","Census Tract 9501, Allegany County, New York"
"5134","292","4823","285","86","42","28","24","113","48","0","17","35","26","49","34","6","10","43","32","1400000US36003950300","Census Tract 9503, Allegany County, New York"
"3743","287","3585","284","0","12","6","10","9","14","0","12","10","14","133","77","0","12","133","77","1400000US36003950400","Census Tract 9504, Allegany County, New York"
"3758","160","3702","160","4","8","0","12","0","12","0","12","0","12","52","47","0","12","52","47","1400000US36003950500","Census Tract 9505, Allegany County, New York"
"3648","232","3415","210","159","58","0","12","23","30","0","12","9","16","42","40","0","12","42","40","1400000US36003950600","Census Tract 9506, Allegany County, New York"
"3353","276","3258","265","19","19","0","12","33","33","0","12","6","8","37","32","0","12","37","32","1400000US36003950700","Census Tract 9507, Allegany County, New York"
"6159","200","5258","220","374","102","20","22","295","73","0","17","113","62","99","48","0","17","99","48","1400000US36003950800","Census Tract 9508, Allegany County, New York"
"3662","260","3652","260","5","6","0","12","0","12","0","12","5","9","0","12","0","12","0","12","1400000US36003950900","Census Tract 9509, Allegany County, New York"
"3286","269","3272","269","0","12","0","12","5","7","9","14","0","12","0","12","0","12","0","12","1400000US36003951000","Census Tract 9510, Allegany County, New York"
"3649","338","3518","330","43","42","10","16","0","12","0","12","33","32","45","45","0","12","45","45","1400000US36003951100","Census Tract 9511, Allegany County, New York"
"4683","252","4592","253","4","7","27","25","21","24","0","12","0","12","39","30","0","12","39","30","1400000US36003951200","Census Tract 9512, Allegany County, New York"
"3321","187","3221","178","6","7","16","21","38","29","0","12","5","5","35","25","0","12","35","25","1400000US36003951300","Census Tract 9513, Allegany County, New York"
"6864","331","2233","256","3824","301","18","20","181","70","0","17","505","142","103","60","0","17","103","60","1400000US36005000100","Census Tract 1, Bronx County, New York"
"4532","471","1919","437","1371","434","0","12","75","76","0","12","996","447","171","150","71","116","100","96","1400000US36005000200","Census Tract 2, Bronx County, New York"
"5516","558","2436","519","1677","440","17","28","208","185","0","17","889","374","289","182","50","58","239","171","1400000US36005000400","Census Tract 4, Bronx County, New York"
"5825","398","1884","431","2539","435","0","17","76","117","0","17","1129","329","197","120","132","109","65","61","1400000US36005001600","Census Tract 16, Bronx County, New York"
"3141","341","685","209","1123","196","45","96","87","66","0","12","989","218","212","119","130","103","82","68","1400000US36005001900","Census Tract 19, Bronx County, New York"
"9040","924","3170","1078","3779","1190","112","150","0","17","0","17","1529","717","450","375","267","330","183","171","1400000US36005002000","Census Tract 20, Bronx County, New York"
"4302","342","584","242","1616","292","49","61","0","12","0","12","1963","435","90","60","79","58","11","15","1400000US36005002300","Census Tract 23, Bronx County, New York"
"155","209","65","88","90","122","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005002400","Census Tract 24, Bronx County, New York"
"5610","617","1100","379","1711","382","19","32","6","10","24","38","2572","722","178","136","167","135","11","17","1400000US36005002500","Census Tract 25, Bronx County, New York"
"2608","362","295","152","862","371","0","12","0","12","0","12","1423","319","28","25","17","27","11","17","1400000US36005002701","Census Tract 27.01, Bronx County, New York"
"4560","485","538","272","2120","573","72","88","0","12","0","12","1648","488","182","132","91","93","91","101","1400000US36005002702","Census Tract 27.02, Bronx County, New York"
"5151","616","655","273","3742","587","0","17","0","17","0","17","536","370","218","162","20","35","198","158","1400000US36005002800","Census Tract 28, Bronx County, New York"
"1689","222","350","146","437","145","0","12","74","90","0","12","729","196","99","70","34","40","65","60","1400000US36005003100","Census Tract 31, Bronx County, New York"
"3277","430","427","236","1091","371","68","110","0","12","0","12","1578","349","113","119","21","26","92","121","1400000US36005003300","Census Tract 33, Bronx County, New York"
"3907","443","503","239","1472","352","96","138","0","12","0","12","1719","442","117","102","104","95","13","24","1400000US36005003500","Census Tract 35, Bronx County, New York"
"250","95","60","60","102","61","0","12","0","12","0","12","88","69","0","12","0","12","0","12","1400000US36005003700","Census Tract 37, Bronx County, New York"
