,year,geoid,median_income,num_white,pct_white,num_black,pct_black,num_asian,pct_asian
94,2013,36061014500,179722,4649,0.8000344174840819,201,0.03458957150232318,800,0.13766993632765445
95,2013,36061006300,104857,5073,0.8349242922975642,64,0.01053324555628703,451,0.07422646477946017
96,2013,36061005700,156500,2449,0.8338440585631597,32,0.010895471569628872,320,0.10895471569628873
97,2013,36061000600,19643,1262,0.10918844090673127,877,0.0758781796158505,6940,0.6004499048278249
98,2013,36061001401,87426,2452,0.7455153542110063,190,0.057768318637883856,480,0.1459410155062329
99,2013,36047123700,30000,5836,0.8636969069113511,197,0.029154950421784814,23,0.003403877460411425
100,2013,36047022900,62000,986,0.2757270693512304,2107,0.5892058165548099,148,0.04138702460850112
101,2013,36061007700,100125,4636,0.8578830495928942,135,0.024981495188749075,331,0.06125092524056255
102,2013,36061004500,134750,673,0.8011904761904762,3,0.0035714285714285713,114,0.1357142857142857
103,2013,36061002700,50893,190,0.15952980688497062,16,0.01343408900083963,919,0.7716204869857263
104,2013,36061002900,35774,625,0.1067463706233988,711,0.12143467122117849,4127,0.704867634500427
105,2013,36061005502,114643,1815,0.7616449853126311,110,0.04616030214015946,264,0.11078472513638271
106,2013,36047002901,12645,324,0.09577298255985811,1938,0.5728643216080402,339,0.10020691693762933
107,2013,36047018501,21303,599,0.1444069431051109,2552,0.6152362584378014,299,0.07208293153326904
108,2013,36061008100,104647,7099,0.818328530259366,213,0.024553314121037464,584,0.06731988472622479
109,2013,36061005000,92760,4356,0.8606994665085952,0,0.0,641,0.1266548113021142
110,2013,36061006800,101411,5229,0.7763919821826281,450,0.066815144766147,723,0.10734966592427617
111,2013,36061003400,66623,5468,0.8153892036981807,106,0.015806740232627497,691,0.10304205189382643
112,2013,36061006400,90798,5865,0.7801276935355148,161,0.021415270018621976,727,0.09670125033253525
113,2013,36061006600,77254,7879,0.6688455008488964,727,0.06171477079796265,1544,0.13106960950764007
114,2013,36061002000,17506,1236,0.25776850886339936,886,0.18477580813347236,1048,0.21856100104275286
115,2013,36061002601,52773,1750,0.4636989931107578,451,0.11950185479597245,605,0.16030736618971914
116,2013,36061003002,53047,1916,0.6321346090399208,317,0.1045859452325965,314,0.10359617288023755
117,2013,36061003602,62667,1792,0.6141192597669637,540,0.1850582590815627,327,0.11206305688827964
118,2013,36061009900,132462,2393,0.6615980094000553,181,0.05004147083218136,849,0.23472491014653027
119,2013,36061011700,106423,1838,0.6255956432947584,254,0.08645336963921035,416,0.1415929203539823
120,2013,36061003300,202153,4385,0.8475067645921918,47,0.009083880943177426,456,0.08813297255508311
121,2013,36061003200,64789,5705,0.7477064220183486,303,0.03971166448230668,1222,0.16015727391874182
122,2013,36061003900,102115,3888,0.7401484865790977,159,0.03026841804683038,566,0.10774795355035217
123,2013,36061008700,108154,5437,0.8150202368460501,117,0.01753859991005846,723,0.10837955329036127
124,2013,36061009100,107241,4746,0.7398285268901014,158,0.024629773967264224,868,0.1353078721745908
125,2013,36061005200,174286,3288,0.7841640829954687,93,0.02217982351538278,525,0.12520868113522537
126,2013,36061005400,122798,3740,0.8032646048109966,91,0.0195446735395189,409,0.08784364261168384
127,2013,36061004000,84713,7739,0.78961330476482,453,0.04621977349250077,1220,0.12447709417406387
128,2013,36061004800,104549,5613,0.7434437086092716,321,0.04251655629139073,1126,0.14913907284768213
129,2013,36061004200,139000,3619,0.7255412991178829,208,0.04170008019246191,871,0.17461908580593424
130,2013,36061006100,101685,4051,0.8245471198860167,62,0.01261958070425402,593,0.12070018318746184
131,2013,36061006900,160642,2216,0.8247115742463714,92,0.03423892817268329,184,0.06847785634536659
132,2013,36061006700,86563,4311,0.8649678972712681,156,0.03130016051364366,354,0.07102728731942215
133,2013,36061007100,127017,4642,0.8240724303213208,55,0.00976389135451802,663,0.11769927214628084
134,2013,36061007300,109321,4671,0.8318788958147818,191,0.03401602849510241,515,0.0917186108637578
135,2013,36047000502,92219,2084,0.819504522217853,67,0.02634683444750295,180,0.07078254030672435
136,2013,36047055500,96350,2779,0.7334389020849829,254,0.06703615729743996,400,0.10556875164951174
137,2013,36061009700,46023,3043,0.6414418212478921,423,0.08916526138279933,692,0.14586846543001686
138,2013,36061010300,90879,1223,0.657880580957504,161,0.08660570199031738,404,0.21732114039806347
139,2013,36047001300,108170,1647,0.6431081608746584,302,0.11792268645060523,314,0.12260835611089418
140,2013,36047004700,101875,872,0.5721784776902887,214,0.14041994750656167,118,0.07742782152230972
141,2013,36047054900,62882,2815,0.8274544385655497,58,0.017048794826572605,177,0.05202821869488536
142,2013,36047055100,61536,3938,0.751096700362388,340,0.06484836925424375,239,0.045584588975777225
143,2013,36061004700,77205,1926,0.8495809439788267,0,0.0,98,0.043228936921041024
144,2013,36047000700,136515,3440,0.898876404494382,50,0.013065064018813691,156,0.04076299973869872
145,2013,36061007800,119475,5854,0.7932249322493224,101,0.013685636856368564,1105,0.1497289972899729
146,2013,36061008000,109276,4054,0.819652244237768,74,0.014961585119288313,681,0.1376870198139911
