"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2029","355","481","154","1141","210","28","46","99","75","0","12","62","65","218","125","12","20","206","122","1400000US36001000100","Census Tract 1, Albany County, New York"
"3263","759","643","331","2230","834","0","12","89","99","0","12","0","12","301","190","0","12","301","190","1400000US36001000201","Census Tract 2.01, Albany County, New York"
"2153","488","86","75","1968","471","0","12","0","12","0","12","0","12","99","91","1","4","98","91","1400000US36001000202","Census Tract 2.02, Albany County, New York"
"3016","602","847","438","1116","510","0","12","393","245","0","12","79","86","581","289","126","132","455","247","1400000US36001000301","Census Tract 3.01, Albany County, New York"
"2931","509","1936","480","469","367","0","12","257","266","0","12","60","69","209","172","0","12","209","172","1400000US36001000302","Census Tract 3.02, Albany County, New York"
"2336","395","2017","394","234","94","0","12","13","22","0","12","12","18","60","61","41","55","19","28","1400000US36001000401","Census Tract 4.01, Albany County, New York"
"4014","669","2869","683","458","214","0","12","342","239","0","12","106","70","239","187","37","46","202","179","1400000US36001000403","Census Tract 4.03, Albany County, New York"
"5045","431","3107","358","1035","180","0","17","333","102","3","7","299","114","268","96","95","56","173","88","1400000US36001000404","Census Tract 4.04, Albany County, New York"
"3410","720","1603","571","1229","458","31","44","142","127","0","12","80","125","325","234","0","12","325","234","1400000US36001000501","Census Tract 5.01, Albany County, New York"
"3926","476","2253","271","738","209","9","15","465","163","0","12","226","126","235","185","139","173","96","56","1400000US36001000502","Census Tract 5.02, Albany County, New York"
"3773","589","1493","428","1232","530","9","16","793","331","0","12","0","12","246","187","0","12","246","187","1400000US36001000600","Census Tract 6, Albany County, New York"
"3611","681","503","185","2413","521","24","55","17","21","0","12","0","12","654","359","27","42","627","354","1400000US36001000700","Census Tract 7, Albany County, New York"
"2102","491","232","117","1496","503","0","12","0","12","0","12","35","42","339","183","31","38","308","185","1400000US36001000800","Census Tract 8, Albany County, New York"
"1751","302","935","185","624","190","0","12","82","104","0","12","51","58","59","46","7","14","52","44","1400000US36001001100","Census Tract 11, Albany County, New York"
"4288","712","3217","719","656","268","0","12","270","221","0","12","61","59","84","94","0","12","84","94","1400000US36001001400","Census Tract 14, Albany County, New York"
"4621","752","2777","544","1112","458","0","12","362","219","0","12","121","140","249","205","0","12","249","205","1400000US36001001500","Census Tract 15, Albany County, New York"
"4156","562","2804","508","584","222","0","12","260","186","0","12","42","45","466","280","137","178","329","208","1400000US36001001600","Census Tract 16, Albany County, New York"
"4041","482","2946","365","575","231","1","3","274","263","0","12","165","140","80","84","3","6","77","83","1400000US36001001700","Census Tract 17, Albany County, New York"
"3937","474","3219","450","433","202","0","12","131","92","0","12","25","33","129","116","0","12","129","116","1400000US36001001802","Census Tract 18.02, Albany County, New York"
"3544","506","3085","490","90","97","0","12","231","208","0","12","30","38","108","174","108","174","0","12","1400000US36001001803","Census Tract 18.03, Albany County, New York"
"3537","479","2545","414","535","342","0","12","335","242","0","12","83","137","39","54","39","54","0","12","1400000US36001001804","Census Tract 18.04, Albany County, New York"
"2496","342","2015","297","161","178","0","12","100","75","0","12","17","24","203","113","0","12","203","113","1400000US36001001901","Census Tract 19.01, Albany County, New York"
"2278","449","1728","452","335","246","0","12","160","139","0","12","0","12","55","52","0","12","55","52","1400000US36001001902","Census Tract 19.02, Albany County, New York"
"6067","1130","2939","747","1755","733","0","17","546","526","0","17","614","590","213","280","139","241","74","119","1400000US36001002000","Census Tract 20, Albany County, New York"
"3174","533","1517","329","386","143","7","11","560","230","0","12","317","267","387","221","56","57","331","216","1400000US36001002100","Census Tract 21, Albany County, New York"
"2657","510","1723","483","611","311","1","4","126","86","0","12","24","27","172","132","9","16","163","130","1400000US36001002200","Census Tract 22, Albany County, New York"
