geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48027020101,51723,13085,3453,621,3227,58,0,11,151
48027020102,65052,13416,4060,394,3929,7,0,40,84
48027020201,93413,16077,8019,788,6898,179,239,165,510
48027020203,73106,8637,4136,502,3805,42,0,42,247
48027020204,65402,29824,3595,920,3433,45,0,41,76
48027020301,85906,12143,8546,1231,6244,1444,390,61,347
48027020302,82557,13699,3708,494,3390,54,0,104,152
48027020401,44353,8449,3379,567,2119,932,58,64,187
48027020402,39135,12301,3081,845,2205,532,0,58,268
48027020500,58474,8327,3831,562,2763,581,16,159,289
48027020600,61544,19839,2917,573,2201,319,122,51,224
48027020701,16261,1766,1381,310,738,422,4,118,86
48027020702,29779,4242,1717,330,1247,315,0,12,143
48027020800,22052,3790,2918,725,1580,1224,0,8,106
48027020900,21274,1674,2884,690,1699,634,0,450,79
48027021000,37941,12737,4240,649,3178,636,5,36,343
48027021101,53646,18218,2545,583,1603,434,188,83,237
48027021102,43281,11468,2700,436,2077,319,0,117,187
48027021201,50913,6283,3462,793,1972,930,12,97,451
48027021202,46893,4884,3652,349,2906,356,21,208,154
48027021203,47347,15851,4524,571,3626,372,12,286,228
48027021301,63149,10164,5822,1492,4706,744,59,143,170
48027021302,67625,17988,2678,278,2468,68,17,16,99
48027021304,51453,12080,4570,805,3437,418,50,83,582
48027021305,72988,5569,5108,543,3704,918,151,92,243
48027021400,66000,8999,4413,634,4081,50,72,32,140
48027021501,41719,7640,4436,895,2432,997,0,243,745
48027021502,86930,11505,3674,923,2870,247,0,381,176
48027021601,38281,8839,6066,839,4422,683,12,346,603
48027021602,29279,9735,2824,319,2210,223,77,144,156
48027021701,82083,29551,5460,1014,4370,272,205,415,106
48027021702,50029,11901,3739,590,3370,40,76,104,149
48027021801,44875,16726,5116,565,3799,773,103,12,345
