geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48113007912,67813,22404,2121,504,1275,269,274,184,112
48113007913,78750,13830,2919,289,2176,322,127,45,238
48113007914,61250,15051,3391,525,2243,449,647,16,24
48113007915,64235,6563,1686,280,1207,57,221,98,103
48113007916,86487,17914,1167,321,824,51,234,6,52
48113008000,211149,47339,7401,1201,6825,63,369,0,63
48113008101,71384,16325,1720,181,1469,83,40,57,71
48113008102,138426,23315,4345,473,3542,349,19,20,415
48113008200,73912,12053,3642,762,2915,357,189,48,123
48113008401,46177,10177,5486,1351,3833,54,0,328,1271
48113008402,46975,10850,3848,799,3409,349,0,49,41
48113008500,47431,15720,4384,557,3202,637,15,30,487
48113008604,27944,4228,2956,621,644,1939,0,21,352
48113008701,21682,3374,5468,961,527,4332,0,371,238
48113008703,29133,7105,2977,491,1223,1422,0,2,322
48113008704,15805,7455,4500,1160,763,3538,0,199,0
48113008705,35846,9465,1507,331,224,826,0,450,0
48113008801,27827,9075,2754,432,443,2039,0,169,83
48113008802,26743,7495,4687,1334,736,3252,0,619,23
48113009001,50984,2666,6307,1519,3298,1279,0,321,1409
48113009002,37757,3474,3450,912,2287,498,30,223,411
48113009101,48094,16260,6054,1176,3623,1146,0,281,1004
48113009103,35063,4502,3475,402,2309,858,0,108,149
48113009104,67872,17393,3690,796,2380,618,0,157,535
48113009105,40383,15087,3554,539,2490,682,0,191,191
48113009202,41353,4033,6466,754,4775,881,0,235,575
48113009203,53446,21311,4595,1076,3162,210,0,102,1013
48113009204,35498,3211,2673,560,2000,485,15,170,3
48113009301,44933,10031,5259,789,3844,611,0,214,590
48113009303,42956,6389,3930,622,2894,611,0,185,240
48113009304,23969,8233,8724,2045,2130,5397,0,65,1132
48113009401,73403,15256,3184,494,2427,112,63,313,231
48113009402,163274,28612,2458,307,2255,15,57,12,108
48113009500,162656,23026,2099,216,1810,86,67,28,108
48113009603,129306,43609,4984,793,3770,188,249,253,519
48113009604,52550,19913,4433,858,3453,787,28,117,48
48113009605,61971,3136,3069,695,1930,297,90,319,433
48113009607,119619,18605,3434,484,2969,70,58,100,237
48113009608,109588,11715,2846,333,2502,88,52,29,175
48113009609,149327,23260,3429,637,2913,81,269,34,132
48113009610,45797,6285,4566,523,3560,58,0,904,0
48113009611,88750,18335,4032,906,3291,132,138,386,85
48113009701,73839,16580,5219,895,3474,213,89,1081,230
48113009702,111429,25020,3080,439,2744,13,99,114,105
48113009802,48094,5586,6233,1407,4050,88,35,774,1286
48113009803,66343,6714,2125,313,1641,128,15,235,101
48113009804,38309,2754,7544,581,6095,90,54,1158,141
48113009900,75352,13825,5611,881,1773,1250,1665,245,678
48113010001,35172,9583,2218,660,825,989,217,19,168
48113010002,-,**,5158,1215,1899,2475,18,250,423
48113010003,84306,14963,3160,418,2090,603,140,83,217
48113010101,35417,12662,4347,592,2055,1794,14,412,72
48113010102,48295,4348,3596,917,2477,133,4,129,797
48113010500,43698,11611,3317,681,2408,735,0,0,153
48113010601,58125,14227,5765,1314,4036,107,0,584,1014
48113010602,29889,8876,2900,686,1474,1018,58,149,199
48113010701,48404,11844,5374,850,3609,570,47,786,321
48113010704,39167,13724,6572,1488,3171,2021,100,582,693
48113010804,31483,8201,5201,1014,2714,2128,0,345,14
48113010805,50769,8665,5862,617,3184,1533,70,893,182
48113010806,90511,19857,4092,692,1869,1105,50,842,226
48113010807,40458,19673,4937,1338,1958,1927,0,1052,0
48113010808,37215,5486,3581,458,2953,561,0,16,51
48113010809,40213,24156,6015,1172,4411,1253,89,181,81
48113010903,32676,5274,3999,975,814,2512,2,123,545
48113010904,35353,7222,3930,566,847,2682,21,126,254
48113010905,23966,13452,3559,751,72,3375,0,0,112
48113010906,44863,3922,4112,698,809,2749,84,323,147
48113011002,52390,27083,3899,888,978,2683,0,50,172
48113011003,55765,29047,5273,810,1364,3559,0,349,1
48113011004,48311,5518,2380,699,500,1379,0,501,0
48113011101,67122,8000,4946,926,1028,3645,0,273,0
48113011103,35811,8340,3749,468,2009,1381,37,242,80
48113011104,29910,6316,4459,1160,1349,2551,0,479,64
48113011105,40093,8168,5222,922,1401,3030,0,364,427
48113011201,52434,13204,4176,629,874,2975,0,257,65
48113011202,41917,12779,2898,679,862,1800,0,162,74
48113011300,41607,14420,5127,829,541,4280,0,209,89
48113011401,24110,9209,5763,897,616,4490,0,111,546
48113011500,24105,3973,4685,1143,2197,1449,0,277,762
48113011601,35407,7138,4491,884,1928,2066,0,355,0
48113011603,53493,8447,3602,848,2264,348,111,186,693
48113011604,59141,8831,3454,479,1967,868,13,385,221
48113011701,40168,14909,6964,755,4279,1366,0,801,491
48113011702,48188,6814,5942,961,3747,283,340,480,1092
48113011801,41197,8345,5573,1172,3071,1850,0,28,624
48113011802,52467,11553,5232,919,4471,106,55,395,187
48113011901,49099,10967,4194,422,2748,1020,17,359,12
48113011902,52546,12534,4914,917,2953,1611,0,278,72
48113012000,34959,8652,10362,1532,5020,3524,91,660,1039
48113012101,31023,7784,2760,493,1111,1649,0,0,0
48113012102,45425,14801,3312,379,1638,1306,56,208,54
48113012206,72873,8375,6118,991,2501,3089,83,98,339
48113012207,46220,11421,6978,1162,2870,3480,56,170,356
48113012208,22951,5344,2574,399,1376,938,0,59,154
48113012209,81053,9809,2552,391,1815,549,60,21,101
48113012210,32802,3842,4377,563,1968,2057,71,180,101
48113012211,35433,5115,4970,723,2215,1897,227,293,338
48113012212,58691,6921,5986,2340,3602,592,24,0,1768
48113012213,84464,18670,2109,290,1976,90,0,21,22
48113012301,58879,14019,5263,848,3700,751,41,239,532
48113012302,35480,9234,9761,1390,4834,3428,271,339,889
48113012400,53503,9857,5423,918,4655,97,0,420,232
48113012501,63457,25412,3636,1095,2599,1,116,297,623
48113012502,41541,5550,3864,791,3457,201,15,157,32
48113012601,43495,4237,6678,1113,3052,564,413,1565,983
48113012603,64457,15345,1989,269,1248,88,15,460,177
48113012604,43727,9024,7387,1318,3942,2239,134,310,742
48113012701,44858,6676,5827,836,3576,526,125,775,764
48113012702,55234,14835,3257,407,2566,210,0,176,301
48113012801,68727,10413,2908,790,2649,2,36,32,189
48113012802,87500,31292,5300,940,4791,211,0,159,134
48113012900,105719,19397,4797,733,3805,97,27,103,765
48113013005,111114,13341,4213,777,3616,95,286,62,154
48113013007,83163,16676,3665,418,2135,487,564,190,278
48113013008,109132,22257,3468,368,2421,368,411,166,102
48113013009,87091,23485,4890,566,2768,1437,113,401,164
48113013010,36703,7491,5149,863,2537,1732,140,370,362
48113013011,36250,5439,4394,611,1976,1436,122,776,84
48113013012,95547,76069,2677,395,2443,91,0,0,143
48113013013,173056,71563,4540,895,4344,122,6,35,17
48113013101,150068,29074,2983,626,2878,7,72,8,18
48113013102,152212,52855,2151,548,1988,38,30,0,87
48113013104,135331,31015,1684,420,1431,172,42,27,9
48113013106,56161,36944,1689,599,1120,230,164,124,51
48113013107,43662,4469,4767,638,2809,1359,166,78,355
48113013201,141522,60729,2606,365,2018,106,0,58,424
48113013202,76266,3245,4878,745,2984,1288,178,274,121
48113013300,"250,000+",***,1796,225,1590,8,130,0,21
48113013400,217371,29568,1790,133,1473,30,237,15,32
48113013500,237692,33566,2560,506,2323,0,105,11,121
48113013605,135774,37174,5339,541,4688,34,149,299,169
48113013606,74803,14185,6085,1089,3536,551,249,1199,550
48113013607,97075,26561,3752,738,2866,150,57,514,165
48113013608,143977,20364,2133,256,1928,42,111,39,13
48113013609,78317,16195,3760,460,1773,394,31,1452,110
48113013610,111653,20854,4823,532,2485,142,105,1624,467
48113013611,121528,13023,2603,379,1944,183,177,35,258
48113013615,40731,6937,5444,815,1082,1757,0,2376,229
48113013617,109875,41572,2958,450,2231,262,150,83,232
48113013618,98063,38140,2961,442,1739,139,379,484,220
48113013619,130054,35085,4790,554,3789,150,428,103,190
48113013620,76100,8216,6041,823,3030,1851,482,284,388
48113013621,62394,10582,4462,798,1715,1290,183,907,347
48113013622,60833,18866,2811,543,1571,473,78,431,258
48113013624,79000,12820,4882,897,1838,1202,663,797,335
48113013625,55664,12386,3385,595,899,1111,242,798,283
48113013626,66719,7984,3264,552,797,541,235,1109,535
48113013627,63500,24152,1425,465,824,305,16,142,113
48113013628,72263,9559,5233,592,3266,449,545,593,332
48113013629,41350,13010,3315,2014,1947,233,12,1073,50
48113013630,56115,15318,2707,597,783,657,206,977,84
48113013631,45756,10417,1599,301,224,425,119,730,101
48113013715,84875,17242,2895,793,1848,53,96,325,573
48113013716,76400,8913,5133,647,3700,572,514,244,100
48113013717,50744,17059,3266,463,2669,66,244,210,55
48113013718,54728,12174,4940,567,4004,622,48,143,96
48113013719,56074,10466,4833,711,2030,677,1913,60,128
48113013720,73590,13339,6912,801,5002,450,692,279,489
48113013721,112703,12564,5699,642,4193,436,528,149,376
48113013722,69524,10500,5342,790,3133,1362,392,120,335
48113013725,47566,5520,4223,734,2738,1180,115,146,44
48113013726,75755,15149,2746,443,1811,128,346,172,283
48113013727,80529,16687,3641,609,1812,862,341,119,481
48113013728,52806,6262,6587,927,5062,315,214,634,362
48113013729,66147,4161,7798,1022,5837,296,129,794,705
48113013804,70199,11543,3924,605,2762,201,142,375,419
48113013805,59600,19275,3404,395,1632,615,331,528,291
48113013806,80540,8480,4308,569,1954,585,914,392,458
48113013807,98393,25554,3943,954,3704,11,74,48,106
48113013808,90588,31178,3788,575,2866,101,241,148,410
48113013901,58958,13258,5145,1051,4165,118,45,548,265
48113013902,73750,23121,5026,529,4293,160,89,238,220
48113014001,85508,14157,5240,1046,4255,244,510,135,83
48113014002,71014,19861,521,200,275,80,122,0,44
48113014119,112672,14779,4404,340,3300,170,579,48,307
48113014120,144784,9821,4792,385,3540,8,914,6,214
48113014121,77063,11122,4955,545,2930,379,1274,124,248
48113014123,165313,16834,5790,577,3731,74,1811,7,152
48113014124,159330,29502,3688,344,2160,413,921,33,143
48113014126,145573,21661,7152,1030,4844,107,1798,125,278
48113014128,109861,7522,3991,514,1104,154,2284,12,205
48113014130,96219,10276,3685,436,1088,347,1928,45,148
48113014132,71012,13186,2628,458,681,878,869,99,101
48113014134,140495,9455,4412,475,2244,72,1829,19,164
48113014135,104239,21828,4916,483,2945,632,1088,18,141
48113014138,100500,8757,3900,492,1169,424,2232,34,41
48113014139,65669,11208,2566,768,495,1358,44,289,253
48113014140,52222,14812,2986,766,863,1184,889,50,0
48113014141,80092,12160,1825,387,816,413,457,22,99
48113014142,52823,28345,1871,379,1031,387,350,12,91
48113014143,121000,16991,3988,705,1683,201,1745,195,154
48113014144,83731,5157,5123,880,1657,753,2529,57,127
48113014145,51642,4318,1213,187,385,567,181,0,80
48113014146,46799,11875,2242,483,389,415,1254,157,27
48113014147,43906,5270,1907,373,366,1064,121,249,107
48113014148,47763,14794,3154,582,1159,311,1601,16,67
48113014149,91839,12768,3652,539,578,564,2283,30,186
48113014150,116250,38875,1504,201,154,373,975,0,0
48113014151,106996,13015,3906,596,566,500,2429,256,155
48113014152,71761,5532,3376,578,712,839,1673,27,125
48113014153,44574,23405,4116,1625,1631,825,184,544,932
48113014154,76167,33297,3707,875,1105,868,1145,219,370
48113014155,88031,14734,5191,660,1157,831,3103,71,29
48113014156,142118,15153,3801,622,773,7,2901,32,88
48113014157,76321,5681,1597,379,776,95,709,0,17
48113014158,44327,4227,3008,453,808,1438,405,106,196
48113014159,174762,28188,1930,482,217,0,1713,0,0
48113014160,66906,20200,2249,855,551,730,850,18,100
48113014161,49142,12837,3432,789,763,2068,259,113,229
48113014203,74630,30401,2940,345,2285,65,107,390,93
48113014204,42813,14579,2516,344,1462,85,523,311,109
48113014205,137083,30839,1482,211,1095,23,283,0,81
48113014207,87833,32177,1584,549,852,552,121,15,44
48113014208,61756,8690,1647,337,1099,426,111,11,0
48113014209,103957,6746,3122,478,1518,1038,449,57,60
48113014306,63661,2762,6125,1140,3696,361,277,1491,288
48113014308,46641,3335,4283,731,2520,669,175,586,305
48113014309,39825,6333,5726,855,2598,1133,773,918,304
48113014310,62536,13640,4207,479,1826,1382,453,245,270
48113014313,87472,7754,2342,502,906,495,854,72,15
48113014314,80703,13781,2189,389,1333,339,398,3,116
48113014315,61961,27211,2558,598,1613,351,37,443,114
48113014316,62031,13382,4885,1475,2133,0,1004,1359,336
48113014317,68553,16898,1845,700,1329,318,82,10,106
48113014318,83125,20089,2266,256,1625,432,117,35,51
48113014319,73958,17581,2483,470,705,393,1303,59,23
48113014320,100830,8238,2793,661,323,227,2037,0,178
48113014405,41513,6661,3412,438,1564,185,154,1468,20
48113014406,59015,12275,4510,640,2706,41,57,1341,359
48113014407,41480,2597,4795,454,1529,835,474,1723,226
48113014408,68707,9883,4221,588,1163,669,507,1487,306
48113014409,45084,10568,2903,679,548,897,256,823,379
48113014410,43333,14696,2220,500,1003,594,251,267,105
48113014501,82242,27480,4276,1123,2432,85,141,883,735
48113014502,56912,7435,5259,1083,2752,133,123,1529,654
48113014601,53145,10111,2182,265,1282,298,17,311,230
48113014602,52864,8948,4619,821,2512,0,90,1172,818
48113014603,51705,11498,1894,439,1296,64,10,424,14
48113014701,44733,9267,4095,524,2880,124,135,695,261
48113014704,46447,6870,5630,721,3582,63,128,1718,113
48113014903,56856,14915,3973,478,2039,221,153,1495,21
48113015001,65926,21912,5065,1374,2660,178,0,1539,688
48113015002,68560,6900,2796,462,1449,227,181,905,34
48113015101,66520,21214,4145,998,1081,62,283,1565,1009
48113015102,42121,19462,2772,1223,1667,161,122,242,580
48113015202,49000,14265,3081,383,1294,192,0,1221,374
48113015205,38674,3997,3456,499,2216,146,0,768,318
48113015206,63931,7894,4955,951,2866,188,168,939,794
48113015207,81798,10225,3697,478,2554,367,172,261,235
48113015208,42358,9175,4474,1288,2068,275,104,1561,466
48113015303,50556,14770,1594,310,1037,23,0,480,54
48113015304,53966,8204,4666,1040,2479,143,166,977,891
48113015305,67099,20632,4443,829,2549,497,133,1243,16
48113015306,74531,12310,5898,1097,2423,697,1150,398,1223
48113015403,40019,24865,3279,635,1942,729,0,237,371
48113015404,46131,14496,5100,724,3327,854,8,586,325
48113015405,75227,12034,2512,630,1640,360,102,326,73
48113015406,63641,21775,3640,474,2911,274,105,191,150
48113015500,69779,15519,4033,852,2267,502,114,1008,137
48113015600,52933,12468,6155,885,4471,274,5,1050,301
48113015700,56731,15656,2938,611,1933,0,105,618,257
48113015900,29638,7718,3611,675,2418,274,72,465,382
48113016001,37803,5997,5079,537,3222,312,0,1386,30
48113016002,31580,6435,3722,950,2873,177,0,490,182
48113016100,38125,9686,4026,774,1896,1216,0,634,280
48113016201,67630,10336,4167,658,2534,791,56,388,398
48113016203,35651,10260,1777,590,1620,133,18,6,0
48113016204,46430,5511,5541,1365,3225,248,101,222,1745
48113016301,62461,15254,7520,1202,3977,806,551,1022,1147
48113016302,42070,5563,2114,471,1465,49,24,542,34
48113016406,64118,16164,4815,682,2387,590,211,1225,402
48113016407,59527,9453,7671,1340,4475,1158,106,873,1059
48113016409,110139,26315,3914,541,1970,858,488,161,437
48113016410,76585,26542,5171,919,2171,2016,444,398,126
48113016412,106917,35848,5304,818,2233,1246,701,113,969
48113016414,88594,35908,1841,642,873,844,48,15,61
48113016415,105923,23621,4854,746,2694,905,259,607,389
48113016416,58698,12111,3304,373,1435,1054,450,86,279
48113016417,89083,22572,5706,940,3624,976,462,287,272
48113016418,70691,11111,5045,544,1797,1602,393,921,332
48113016419,70000,13399,5046,536,2923,1017,650,309,114
48113016420,100469,28193,4276,1542,2294,412,71,632,803
48113016421,51774,17114,3524,695,2590,487,109,288,50
48113016511,63988,11469,4785,632,1096,2935,133,539,82
48113016513,115962,28743,5484,1114,2696,2055,65,304,341
48113016516,42896,7978,5625,797,3371,1321,83,739,111
48113016517,59523,3132,5147,795,2201,1991,34,765,123
48113016518,40897,6008,5702,1042,2620,2110,213,564,176
48113016519,74688,20113,2270,310,1706,232,10,135,114
48113016521,56591,10956,6940,719,3349,2849,295,214,210
48113016522,62112,18694,4722,1103,2896,1408,52,114,243
48113016524,87261,15890,2356,258,1400,559,110,40,211
48113016525,126029,23942,1994,218,577,907,343,17,142
48113016526,46830,30573,5476,2781,1374,3314,69,686,33
48113016527,73920,50219,4532,879,1413,1734,701,684,0
48113016528,60657,7274,5587,830,1240,2975,279,825,268
48113016529,71638,33817,3357,878,819,1561,248,699,30
48113016530,67446,11565,3469,474,1556,1222,254,262,175
48113016531,76886,10784,3597,620,1779,1351,40,194,233
48113016532,86773,17818,1679,239,927,422,0,270,0
48113016533,50401,12150,3669,571,2194,651,63,761,0
48113016534,50308,8691,3665,672,1813,1340,113,399,0
48113016535,51804,9808,3023,535,1695,579,0,609,140
48113016536,45360,9710,2952,353,2322,362,0,133,135
48113016607,25023,4115,3420,572,271,3080,9,24,25
48113016610,47906,12166,4102,510,422,3436,30,100,83
48113016615,83224,15744,4680,688,1174,2912,233,44,295
48113016616,72370,16095,6802,1143,2197,3799,59,251,496
48113016617,98480,13402,4660,801,1153,3022,74,174,237
48113016618,64135,15144,4438,595,1314,2764,20,193,136
48113016619,43292,4148,3648,562,1235,2328,0,63,16
48113016620,96477,15910,5418,924,1498,3147,117,520,109
48113016621,64205,15316,5458,614,991,3174,0,956,337
48113016622,74926,12444,4141,775,1698,2067,0,38,338
48113016623,84219,21857,7193,703,1508,4747,39,454,424
48113016624,64967,22936,3405,601,605,2659,0,53,69
48113016626,53693,6138,4477,674,1573,2390,62,246,206
48113016627,93214,19231,2660,1291,857,1534,0,8,261
48113016628,64263,19118,5010,1310,907,3509,0,122,460
48113016629,74927,23833,2763,411,872,1689,0,118,84
48113016630,98567,8673,6811,1002,1105,5088,0,338,280
48113016631,112936,56292,4787,1134,361,4020,91,91,224
48113016632,80638,18714,2655,1092,807,1215,0,616,17
48113016633,87745,38795,6601,1058,875,5527,0,38,84
48113016634,37052,10985,3686,1564,1755,605,0,212,1054
48113016635,22334,5376,3951,772,159,3688,94,7,3
48113016636,58500,40980,2361,562,1115,796,126,55,269
48113016637,57216,30674,2685,576,773,1673,0,86,153
48113016638,58125,11758,1925,477,517,1223,0,95,90
48113016704,58048,7043,4154,743,1176,2700,24,116,138
48113016706,35784,13092,2515,575,632,1449,9,360,65
48113016707,51312,2191,4624,792,454,3957,47,114,8
48113016708,100138,8812,6665,1169,963,5563,37,0,102
48113016709,24688,5660,2986,416,1068,1760,13,88,57
48113016710,40316,17346,5103,1278,952,3104,0,858,189
48113016711,34250,10555,2443,375,559,1711,0,156,17
48113016802,75875,14777,4353,936,1891,2312,0,27,123
48113016803,42852,13929,5385,864,1542,3373,58,127,285
48113016805,72679,34193,4129,1483,447,3517,138,0,27
48113016806,78310,10918,5761,1010,487,4939,0,157,178
48113016902,33977,9828,6070,139,2989,2172,13,169,722
48113016903,55173,10768,5760,348,3332,1739,14,548,127
48113017005,57764,17889,4807,806,3612,408,0,590,197
48113017006,54400,11998,5830,1014,4934,492,0,116,241
48113017007,50164,10029,6024,1092,4063,594,25,1073,254
48113017008,70306,18444,5482,849,3227,1501,34,347,357
48113017009,32527,5583,5117,902,4143,75,0,599,300
48113017010,62516,20418,4891,974,3388,641,0,302,443
48113017101,44722,8214,7172,2486,3744,1194,54,454,1717
48113017102,54554,9537,6370,975,4115,1196,29,730,300
48113017201,47627,8739,5045,923,3163,1009,22,295,556
48113017203,51412,17224,4907,1168,2850,1851,93,37,76
48113017204,49718,15860,4479,1078,2870,1141,11,422,25
48113017307,104762,11357,3275,309,1866,860,424,0,91
48113017308,83701,39937,4637,831,2377,1529,310,185,236
48113017309,84359,27601,2656,304,1718,578,53,143,86
48113017310,84682,20019,3554,537,1682,1692,0,135,45
48113017311,64012,24895,3113,450,1866,826,67,256,94
48113017312,66528,13430,4618,704,2776,1412,80,0,20
48113017313,102202,18168,3713,1039,1150,1966,154,154,289
48113017314,81146,23566,8155,1543,3975,2169,64,605,1288
48113017315,59609,18897,5613,1194,3075,1731,0,366,401
48113017400,57727,13696,5172,627,3719,842,40,439,132
48113017500,78563,8824,3672,384,2582,532,90,52,409
48113017602,52885,13030,4271,445,2544,1172,0,210,317
48113017604,47188,7419,3466,751,1844,457,0,499,666
48113017605,47235,10697,3747,613,1971,1122,0,61,593
48113017606,46221,3701,4888,693,3123,913,24,411,192
48113017703,38002,7486,5782,1423,2222,1829,252,225,1238
48113017704,50471,5853,6700,959,4232,1590,110,89,652
48113017705,37041,20094,3029,637,1278,1024,302,297,128
48113017706,66985,20202,4721,721,2497,1298,161,334,431
48113017805,48676,8202,5059,646,3004,1379,0,158,202
48113017806,48359,13877,4763,679,3027,618,0,511,559
48113017808,72330,7516,3915,568,2568,524,301,344,178
48113017811,72241,14239,4740,785,3019,867,468,229,95
48113017812,65778,5813,2125,225,1483,243,85,231,73
48113017814,78711,4879,4943,584,2494,1239,863,235,112
48113017815,32483,17936,2865,1082,1104,553,76,142,990
48113017816,60625,11805,5385,1526,3096,904,0,195,1165
48113017817,56004,9119,3157,1211,1799,920,204,98,136
48113017818,61206,8295,3318,598,2050,678,335,187,68
48113017819,42780,6998,1885,321,786,780,27,150,120
48113017820,90109,40308,4208,1317,2570,855,0,587,135
48113017900,54130,11153,5242,842,3281,904,202,608,197
48113018001,51875,10964,5958,887,4386,764,35,351,422
48113018002,56292,15671,3968,1102,2252,980,26,389,321
48113018105,62852,9401,5959,801,3978,591,66,434,804
48113018110,79688,12033,5146,751,3588,406,515,425,176
48113018111,73246,11548,6638,963,3513,1785,41,421,837
48113018120,83564,11711,5094,678,2594,1102,904,151,343
48113018121,57105,7453,4796,675,2713,643,358,369,713
48113018126,80582,15885,6736,1025,4592,1098,0,537,414
48113018127,60590,13407,2376,318,1783,259,96,137,74
48113018128,53125,7528,5712,704,2885,1718,147,290,576
48113018129,58964,8594,4762,1198,2847,848,45,162,852
48113018130,39482,8577,4060,679,1497,1975,30,440,118
48113018132,74138,17222,5975,1207,2996,976,540,435,1021
48113018133,89552,4442,4020,667,2328,1091,159,230,60
48113018134,90225,5904,5177,653,3723,730,83,252,335
48113018135,76080,7503,4376,718,3299,466,291,0,296
48113018137,64091,42509,4554,949,2184,828,567,733,161
48113018138,39199,7970,4916,848,1960,1707,574,259,399
48113018140,105213,12691,6798,1087,3990,1354,784,136,526
48113018141,45052,7092,3455,543,2149,906,4,170,221
48113018142,81858,16757,3855,430,2153,573,627,222,280
48113018143,120809,41992,5876,891,3554,1397,592,0,333
48113018144,123415,17665,4136,469,2787,911,193,16,229
48113018145,124592,25903,4735,938,3937,240,254,0,304
48113018146,123188,27846,3604,698,2444,835,291,0,34
48113018147,125498,22069,4703,3079,2492,488,634,144,887
48113018148,61850,28630,4821,477,2431,1372,806,11,201
48113018149,126411,16391,4222,561,1969,981,216,180,876
48113018150,103305,19237,4224,868,2600,931,363,262,68
48113018151,92792,36348,2907,740,1345,529,520,446,52
48113018152,71113,3545,5383,540,3726,669,798,23,167
48113018153,111849,23927,8140,877,4233,768,2780,59,300
48113018154,87143,13994,5411,539,3987,570,362,220,245
48113018155,105126,8251,4268,599,2963,144,870,94,23
48113018156,99948,27071,6070,1174,3132,1863,321,20,734
48113018157,75714,21661,4403,1781,1890,1510,555,35,413
48113018158,103257,48457,4168,622,1931,1147,226,604,260
48113018159,135742,6837,3908,478,2726,214,727,23,172
48113018203,68289,13383,6503,690,3141,1296,794,634,638
48113018204,57684,7954,5641,1288,3175,592,35,328,1511
48113018205,51105,5238,3823,598,2374,448,311,330,339
48113018206,44950,12587,4460,650,3007,355,0,416,521
48113018300,56875,10041,6954,1201,5211,130,195,964,454
48113018401,58846,16819,4098,706,2918,471,51,209,443
48113018402,74219,12926,4364,912,3274,308,73,186,496
48113018403,43977,9420,1569,397,853,369,0,315,24
48113018501,55573,23279,4847,1275,3242,259,91,462,793
48113018505,32019,8777,4021,441,1344,2261,92,167,157
48113018506,34149,6720,3214,594,668,2360,66,89,31
48113018507,40679,9899,4201,792,897,2828,187,30,259
48113018508,55742,9423,1578,578,649,608,11,0,310
48113018600,66477,7057,3753,652,3003,263,15,235,111
48113018700,41848,13458,7040,1067,4791,229,0,1344,676
48113018801,56401,8338,5121,693,3507,349,253,768,201
48113018802,46377,8740,1375,313,1022,198,46,23,86
48113018900,53047,7747,5883,1198,3392,737,1253,121,380
48113019013,31005,2801,5105,529,3124,896,308,703,74
48113019016,52917,12760,2935,385,1539,840,480,10,66
48113019018,52695,10870,5854,1152,1691,1944,1528,386,275
48113019019,32995,6573,7797,1151,2537,3937,875,316,132
48113019020,50709,11678,6859,1972,2798,1410,1175,311,1159
48113019023,102030,12255,5926,1568,4426,209,767,275,249
48113019024,83221,15984,4405,905,2627,573,815,182,208
48113019025,87045,17275,4329,541,2289,491,1007,216,313
48113019026,62969,16864,5797,811,3422,534,1408,43,320
48113019027,61992,9448,6422,1167,2348,1186,2009,58,766
48113019028,62050,17749,3450,628,2019,578,701,76,74
48113019029,63608,12074,6224,851,2376,900,1805,593,525
48113019031,83150,16651,4863,534,3656,121,783,53,231
48113019032,64531,18487,4826,1032,2591,223,893,416,670
48113019033,52846,10132,4046,696,2957,220,382,222,258
48113019034,34792,14283,4749,673,1720,2086,650,77,216
48113019035,36433,7325,7104,974,2416,3260,521,417,490
48113019036,114803,18319,2690,213,2353,64,216,0,57
48113019037,96495,13987,3299,415,2412,348,404,39,82
48113019039,77394,20939,7260,810,5633,666,640,28,293
48113019040,71551,15344,8381,1865,1952,3784,1994,78,551
48113019041,87143,15856,2954,362,1978,418,403,134,19
48113019042,77891,15864,5631,495,3436,1107,923,46,107
48113019044,63068,11915,3367,577,2139,141,585,329,173
48113019045,48076,3917,2565,278,1357,485,468,174,81
48113019046,71250,18171,4311,894,1860,880,913,340,205
48113019047,54149,17964,3438,787,2109,383,917,0,29
48113019048,82734,21495,3769,1467,2177,177,187,196,1032
48113019049,51084,10530,4706,1700,2226,1091,248,98,993
48113019050,148690,35750,3232,762,1832,307,808,136,149
48113019051,120278,19233,4989,496,3797,457,466,0,269
48113019052,74306,10771,556,263,342,80,84,0,50
48113019053,80735,18318,1239,233,655,307,168,79,30
48113019101,68355,27312,1383,232,659,310,344,0,19
48113019102,83125,17482,5313,651,3525,505,860,187,210
48113019202,59202,10412,6028,873,3475,1216,200,718,378
48113019203,111078,17488,4008,361,3690,23,45,27,110
48113019205,117418,21429,4706,708,3838,492,347,29,0
48113019208,43954,7498,6230,759,1327,987,200,3259,430
48113019210,131797,28272,5216,904,4643,109,115,0,338
48113019211,58022,2424,6142,909,4303,917,393,115,414
48113019212,34269,3510,3763,526,493,246,0,2885,129
48113019213,28993,10042,3599,427,730,774,149,1859,87
48113019214,69750,29233,6138,1211,3437,527,57,1547,570
48113019215,100962,14896,2809,391,2488,141,58,77,45
48113019216,62321,12846,4359,489,3616,65,352,110,190
48113019301,"250,000+",***,3340,405,3002,0,111,48,155
48113019302,186635,117066,5537,474,4385,468,454,25,189
48113019400,184031,26517,4399,453,3532,0,432,73,327
48113019501,"250,000+",***,7433,678,6942,0,267,0,224
48113019502,"250,000+",***,4318,474,4102,0,150,25,19
48113019600,179125,80838,2309,394,2025,14,200,0,70
48113019700,"250,000+",***,1775,314,1470,0,93,53,159
48113019800,210408,37462,5059,537,4758,9,255,14,23
48113019900,58137,11461,4200,20,3390,103,0,310,371
48113020000,139787,33394,5335,701,2421,384,2296,34,191
48113020100,47813,13510,2072,267,1523,73,39,292,135
48113020200,25893,7299,3969,810,314,3622,0,32,1
48113020300,25052,8717,2258,339,512,1719,9,0,9
48113020401,54200,10771,2528,490,1515,716,32,179,86
48113020402,83946,5466,5604,725,3499,1492,108,197,308
48113020500,19150,6465,6420,1402,1714,3302,435,43,926
