"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2241","180","49.0","7.5","41.0","7.5","0.0","1.3","3.7","3.1","0.0","1.3","3.1","2.7","3.3","2.4","7.5","4.8","44.6","7.8","4.2","3.2","54.1","7.8","35.5","6.8","6.2","4.2","942","203","63.1","13.0","36.9","13.0","46.4","12.3","38.0","12.9","15.6","10.7","1299","206","60.4","10.8","50.0","11.7","10.4","6.5","39.6","10.8","33.6","10.2","6.1","5.0","31.5","(X)","40.1","(X)","25.2","(X)","32191","7416","57031","7949","22113","4996","-","**","118292","9919","-","**","20313","46076","10855","24506","31167","55288","56836","6912","28281","17426","39766","23041","26858","20630","15764","17799","59722","18146","44219","28343","76786","39022","87477","29019","21303","6312","60406","53432","29844","6587","31429","13774","24385","9258","83661","50409","26399","6508","26224","6970","26875","53467","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","2573","169","41.6","6.1","48.1","6.2","0.0","1.2","4.0","2.7","0.0","1.2","4.7","3.1","1.7","2.0","14.1","4.2","32.1","5.2","5.1","3.1","46.7","6.5","42.6","6.8","5.6","2.1","1443","218","54.1","10.0","45.9","10.0","55.5","9.0","40.3","9.3","4.2","3.1","1130","183","36.5","9.9","26.5","8.9","9.9","6.0","63.5","9.9","42.6","10.1","21.0","9.4","32.5","(X)","33.2","(X)","31.5","(X)","39908","4643","58962","13455","33423","7885","-","**","44028","107481","-","**","32556","8051","-","**","32667","16993","65600","15310","21700","25203","41683","10295","39934","7468","24554","62757","40050","12003","33906","8231","58854","7685","58681","17661","22244","14183","34239","6844","36161","8261","35625","9708","27308","22139","66250","77006","40732","15767","24884","16274","59946","20260","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1085","81","58.3","8.9","32.9","7.9","0.8","1.3","1.2","1.9","0.0","2.7","3.3","3.2","3.4","4.4","14.7","6.5","47.7","7.6","7.3","5.0","37.5","9.6","45.1","9.8","10.1","6.2","558","121","46.6","14.6","53.4","14.6","46.8","13.4","43.7","15.7","9.5","10.2","527","121","36.6","14.4","32.6","14.3","4.0","4.4","63.4","14.4","46.9","14.8","16.5","10.4","38.0","(X)","41.8","(X)","34.0","(X)","36315","13128","46845","22354","27194","24535","-","**","-","**","-","**","26250","30766","-","**","16759","39563","48846","20665","23021","27576","36098","29952","39663","15416","14911","17307","46250","19367","60167","53152","46141","8906","61445","44281","16934","36742","-","**","25164","2884","26472","26948","26556","27560","-","**","23250","11226","24044","12004","9750","69318","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2709","217","61.4","6.3","27.3","5.6","0.0","1.1","8.0","4.5","0.0","1.1","2.9","2.2","0.4","0.6","13.4","6.1","50.9","7.5","7.5","4.2","45.7","7.1","38.3","6.3","8.5","3.1","971","200","45.6","11.6","54.4","11.6","62.2","11.9","21.3","10.6","16.5","9.4","1738","247","40.9","8.2","38.0","7.8","2.9","3.5","59.1","8.2","51.2","8.8","7.9","4.7","35.3","(X)","47.5","(X)","28.5","(X)","43483","9770","49653","13241","24716","19534","-","**","49022","20935","-","**","35817","37477","-","**","36918","34619","49618","12768","12692","24120","48553","12527","50759","11209","18021","6538","51156","14570","49810","32290","51375","16716","64817","13615","21308","21167","36233","1704","36034","16114","21979","10579","23087","12281","-","**","43871","10526","42821","27716","51510","73046","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1856","147","74.5","6.5","17.6","5.6","0.0","1.6","5.5","3.5","0.0","1.6","0.4","0.7","2.0","1.9","10.3","5.5","65.3","7.2","13.3","4.9","40.6","6.7","36.4","7.8","9.8","4.5","589","149","42.4","13.3","57.6","13.3","82.0","10.3","15.1","9.8","2.9","4.8","1267","180","55.8","9.2","44.4","8.0","11.4","5.8","44.2","9.2","34.0","8.2","10.2","4.9","20.6","(X)","24.6","(X)","18.7","(X)","41765","10061","51458","11868","26875","12772","-","**","35982","75593","-","**","-","**","26250","55645","50625","39410","50179","12961","19489","9122","46469","16571","49292","13323","36156","32381","77569","21702","76333","41929","78542","36052","91811","25221","35531","10733","-","**","31875","11248","36836","15141","30250","15190","51607","28572","26415","10298","25396","9319","34191","24163","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2246","203","63.6","6.8","25.0","6.5","0.0","1.3","6.5","3.7","0.0","1.3","0.0","1.3","4.9","3.4","5.4","4.3","58.2","7.4","6.9","4.6","47.1","6.8","33.8","7.8","12.2","4.9","534","157","39.1","17.5","60.9","17.5","53.0","15.0","39.1","14.3","7.9","8.8","1712","247","49.6","9.1","34.5","8.5","15.2","6.3","50.4","9.1","43.7","9.2","6.7","4.3","19.1","(X)","26.0","(X)","17.0","(X)","33090","9508","34587","7982","26529","12738","-","**","15500","15652","-","**","-","**","55667","36349","52528","50296","34222","6917","27115","13915","40069","9550","26583","15199","11625","4992","45227","31541","50917","50074","41750","38758","67847","34305","21943","25519","-","**","27377","11920","32321","13091","16189","7571","66250","23648","26938","13700","25462","18875","56111","84364","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1666","141","59.8","9.3","22.1","6.6","0.0","1.8","7.9","6.5","0.0","1.8","6.9","5.1","3.3","3.4","14.8","7.8","53.6","9.5","18.9","7.0","47.8","10.3","26.5","7.2","6.7","3.9","502","166","19.1","10.5","80.9","10.5","57.4","19.4","14.9","11.5","27.7","20.8","1164","190","41.4","9.4","26.4","8.2","15.0","6.3","58.6","9.4","37.2","11.0","21.4","9.7","26.2","(X)","22.7","(X)","22.7","(X)","30057","4724","36818","13323","28984","9814","-","**","4978","18829","-","**","57643","61663","28875","509","41157","33363","33618","15314","16199","11717","36477","16141","32778","50209","42727","41511","59098","69756","39545","137595","59180","90488","136000","9101","29539","82088","28938","73995","25612","6342","31250","5529","31080","3634","33625","24800","21167","11415","13646","8132","27460","42014","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","1150","112","65.1","8.9","15.0","8.4","0.0","2.6","14.5","7.0","0.0","2.6","0.0","2.6","5.4","4.6","5.6","3.7","61.7","7.9","15.2","8.1","26.9","8.1","24.8","7.9","33.1","8.5","273","93","20.1","16.0","79.9","16.0","78.0","16.5","12.8","12.1","9.2","12.5","877","126","59.7","10.1","46.0","11.3","13.8","9.1","40.3","10.1","30.0","10.5","10.3","7.6","40.6","(X)","44.0","(X)","39.6","(X)","21230","5537","36607","24533","21447","20764","-","**","13185","5000","-","**","-","**","11705","62867","61800","126874","32250","24365","40647","24042","60361","7688","26875","27730","10934","1565","24018","83848","111652","7351","20435","15515","20750","33316","22431","184331","-","**","19899","7501","15200","8333","10219","4017","42875","9583","25958","18425","22007","6413","75000","102921","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US17031010600","Census Tract 106, Cook County, Illinois","3135","127","63.7","7.4","28.5","7.1","0.0","1.0","1.8","2.2","0.0","1.0","3.9","3.1","2.2","1.5","19.2","6.2","48.5","7.4","4.8","2.7","51.2","6.8","35.5","6.1","8.5","4.2","1432","224","45.8","10.0","54.2","10.0","54.8","12.9","38.5","13.0","6.7","5.8","1703","212","42.3","9.7","36.0","8.8","6.3","4.1","57.7","9.7","50.9","10.4","6.8","3.8","27.6","(X)","40.0","(X)","16.6","(X)","43109","8811","43971","15451","43512","11582","-","**","-","**","-","**","36063","32848","25735","30587","29744","7588","50463","12788","18726","7389","50662","17785","43750","13302","24271","44531","64531","20110","54545","28576","65310","17764","71189","9132","49926","19476","32083","16629","28558","11933","25086","10902","24063","11666","26250","29476","36417","12266","35063","13518","120547","90601","(X)","(X)","(X)","(X)","(X)","(X)"
