"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"7036","497","3643","452","192","114","0","16","1478","550","13","22","1673","425","37","67","0","16","37","67","1400000US17031805111","Census Tract 8051.11, Cook County, Illinois"
"3153","275","2146","275","0","11","0","11","808","208","0","11","95","109","104","95","48","60","56","56","1400000US17031805112","Census Tract 8051.12, Cook County, Illinois"
"3250","234","2472","211","66","57","0","11","672","130","0","11","5","11","35","33","0","11","35","33","1400000US17031805201","Census Tract 8052.01, Cook County, Illinois"
"3996","311","2785","226","114","68","0","11","928","198","0","11","128","106","41","49","0","11","41","49","1400000US17031805202","Census Tract 8052.02, Cook County, Illinois"
"3358","254","2206","293","0","11","0","11","913","165","0","11","188","191","51","43","0","11","51","43","1400000US17031805301","Census Tract 8053.01, Cook County, Illinois"
"3548","175","2311","274","52","67","0","11","1105","226","0","11","24","42","56","54","0","11","56","54","1400000US17031805302","Census Tract 8053.02, Cook County, Illinois"
"3913","298","3375","320","0","11","0","11","448","210","0","11","24","26","66","68","0","11","66","68","1400000US17031805401","Census Tract 8054.01, Cook County, Illinois"
"4926","390","3986","419","2","3","78","114","656","217","0","11","125","171","79","76","32","39","47","61","1400000US17031805402","Census Tract 8054.02, Cook County, Illinois"
"3737","333","3343","338","79","104","0","11","258","217","0","11","0","11","57","48","0","11","57","48","1400000US17031805501","Census Tract 8055.01, Cook County, Illinois"
"3740","257","3717","257","6","12","0","11","0","11","0","11","11","15","6","11","0","11","6","11","1400000US17031805502","Census Tract 8055.02, Cook County, Illinois"
"4625","224","4522","232","23","36","0","11","59","47","0","11","10","15","11","17","0","11","11","17","1400000US17031805600","Census Tract 8056, Cook County, Illinois"
"5152","283","4932","274","0","16","0","16","148","152","0","16","0","16","72","84","0","16","72","84","1400000US17031805701","Census Tract 8057.01, Cook County, Illinois"
"1944","184","1834","204","2","5","7","11","74","74","0","11","0","11","27","29","1","3","26","28","1400000US17031805702","Census Tract 8057.02, Cook County, Illinois"
"2348","154","2084","225","21","26","0","11","195","187","0","11","3","6","45","35","0","11","45","35","1400000US17031805801","Census Tract 8058.01, Cook County, Illinois"
"5136","489","4831","543","1","2","0","16","143","93","0","16","133","145","28","32","0","16","28","32","1400000US17031805802","Census Tract 8058.02, Cook County, Illinois"
"4124","310","3524","303","16","28","0","11","310","163","0","11","203","255","71","64","0","11","71","64","1400000US17031805901","Census Tract 8059.01, Cook County, Illinois"
"6274","374","4889","388","263","236","13","20","971","259","0","16","106","135","32","53","32","53","0","16","1400000US17031805902","Census Tract 8059.02, Cook County, Illinois"
"6256","460","3181","417","261","185","0","16","2371","475","0","16","343","300","100","106","56","91","44","51","1400000US17031806001","Census Tract 8060.01, Cook County, Illinois"
"7959","639","4266","625","331","165","0","16","2926","484","0","16","267","215","169","168","120","157","49","61","1400000US17031806002","Census Tract 8060.02, Cook County, Illinois"
"7577","692","4048","611","147","74","0","16","3283","462","0","16","99","128","0","16","0","16","0","16","1400000US17031806003","Census Tract 8060.03, Cook County, Illinois"
"7780","529","5446","590","274","229","0","16","1498","361","0","16","348","206","214","145","16","27","198","148","1400000US17031806004","Census Tract 8060.04, Cook County, Illinois"
"4341","442","3233","418","335","220","16","28","468","100","0","11","289","237","0","11","0","11","0","11","1400000US17031806102","Census Tract 8061.02, Cook County, Illinois"
"5132","364","4049","294","0","16","46","49","717","155","0","16","256","223","64","73","13","20","51","71","1400000US17031806103","Census Tract 8061.03, Cook County, Illinois"
"4460","564","2679","496","423","243","0","11","976","434","0","11","345","266","37","38","0","11","37","38","1400000US17031806104","Census Tract 8061.04, Cook County, Illinois"
"4460","478","3228","394","91","92","0","11","535","217","16","29","558","546","32","35","0","11","32","35","1400000US17031806201","Census Tract 8062.01, Cook County, Illinois"
"4508","366","4232","374","59","64","0","11","174","107","0","11","43","47","0","11","0","11","0","11","1400000US17031806202","Census Tract 8062.02, Cook County, Illinois"
"4475","336","3855","398","0","11","11","17","188","140","0","11","316","247","105","68","0","11","105","68","1400000US17031806300","Census Tract 8063, Cook County, Illinois"
"2414","322","2155","349","0","11","0","11","77","67","0","11","166","138","16","20","5","9","11","18","1400000US17031806400","Census Tract 8064, Cook County, Illinois"
"2357","274","1591","292","14","18","0","11","535","121","0","11","172","133","45","54","24","37","21","27","1400000US17031806501","Census Tract 8065.01, Cook County, Illinois"
"4417","330","3859","402","5","8","0","11","344","177","0","11","159","148","50","42","20","23","30","34","1400000US17031806502","Census Tract 8065.02, Cook County, Illinois"
"3433","279","2471","260","90","122","93","121","337","108","0","11","406","185","36","50","0","11","36","50","1400000US17031806600","Census Tract 8066, Cook County, Illinois"
"4290","231","3389","285","199","124","10","18","423","122","0","11","120","108","149","136","9","14","140","136","1400000US17031806700","Census Tract 8067, Cook County, Illinois"
"3854","384","2567","334","541","254","6","12","533","215","0","11","107","110","100","87","30","48","70","65","1400000US17031806801","Census Tract 8068.01, Cook County, Illinois"
