,year,geoid,num_bikes,households,median_income,num_white,pct_white,num_black,pct_black,num_asian,pct_asian,num_other,pct_other,num_2om,pct_2om,inLimits,inServiceArea
0,2016,42101001001,0,2664,87813,2296,0.8618618618618619,64,0.024024024024024024,124,0.046546546546546545,0,0.0,180,0.06756756756756757,True,False
1,2016,42101000402,4,3202,70038,2721,0.8497813866333541,178,0.055590256089943786,249,0.07776389756402248,0,0.0,54,0.016864459712679577,True,True
2,2016,42101036900,5,5355,44464,3345,0.6246498599439776,680,0.12698412698412698,1099,0.20522875816993463,18,0.0033613445378151263,112,0.02091503267973856,True,True
3,2016,42101037300,0,5835,78209,5088,0.8719794344473007,226,0.03873179091688089,460,0.07883461868037704,0,0.0,38,0.006512425021422451,True,False
4,2016,42101037200,0,4608,57955,3019,0.6551649305555556,340,0.07378472222222222,1118,0.2426215277777778,62,0.013454861111111112,69,0.014973958333333334,True,False
5,2016,42101038400,0,2449,84519,2034,0.8305430788076766,335,0.13679052674561046,12,0.004899959167006942,42,0.017149857084524295,26,0.010616578195181707,True,False
6,2016,42101038600,0,1410,145104,1160,0.8226950354609929,190,0.1347517730496454,30,0.02127659574468085,0,0.0,25,0.01773049645390071,True,False
7,2016,42101038500,0,1866,86058,1592,0.8531618435155413,138,0.07395498392282958,103,0.05519828510182208,1,0.0005359056806002144,32,0.01714898177920686,True,False
8,2016,42101036201,0,4778,55927,4187,0.8763080786940143,414,0.08664713269150272,48,0.010046044370029301,13,0.0027208036835496023,116,0.024277940560904144,True,False
9,2016,42101036202,0,5966,51579,5242,0.8786456587328193,418,0.07006369426751592,169,0.028327187395239692,26,0.004358028830036876,111,0.0186054307743882,True,False
10,2016,42101027700,0,5118,24776,148,0.028917545916373584,4571,0.8931223134036733,241,0.047088706525986714,0,0.0,158,0.03087143415396639,True,False
11,2016,42101027800,0,4507,29063,340,0.0754382072331928,4132,0.9167960949633903,3,0.0006656312402928778,4,0.0008875083203905037,22,0.00488129576214777,True,False
12,2016,42101028000,0,3986,25604,31,0.007777220270948319,3852,0.9663823381836427,64,0.016056196688409432,1,0.0002508780732563974,38,0.009533366783743101,True,False
13,2016,42101027600,0,3589,30506,59,0.016439119531903038,3436,0.9573697408748956,6,0.0016717748676511562,49,0.013652828085817777,39,0.010866536639732517,True,False
14,2016,42101028200,0,5530,29412,392,0.07088607594936709,4587,0.8294755877034358,399,0.07215189873417721,26,0.004701627486437613,126,0.02278481012658228,True,False
15,2016,42101028400,0,4714,27188,487,0.10330929147221043,3537,0.7503182011030971,68,0.014425116673737802,422,0.08952057700466695,149,0.031607976240984305,True,False
16,2016,42101028500,0,2886,27202,544,0.1884961884961885,1317,0.45634095634095634,276,0.09563409563409564,464,0.16077616077616078,41,0.014206514206514207,True,False
17,2016,42101028600,0,7526,27917,884,0.11745947382407654,4855,0.6450969970768005,566,0.07520595269731598,983,0.13061387191070953,238,0.031623704491097526,True,False
18,2016,42101028700,0,2543,26292,635,0.24970507274872197,701,0.27565867086118756,95,0.03735745182854896,906,0.35627211954384586,181,0.0711757766417617,True,False
19,2016,42101029000,0,7118,36157,1459,0.2049733071087384,3417,0.48005057600449563,490,0.06883956167462771,1321,0.1855858387187412,209,0.02936218038774937,True,False
20,2016,42101029300,0,3050,28147,839,0.27508196721311473,1234,0.4045901639344262,8,0.002622950819672131,679,0.22262295081967212,82,0.026885245901639345,True,False
21,2016,42101029400,0,2886,18950,903,0.3128898128898129,1401,0.48544698544698545,61,0.021136521136521137,425,0.14726264726264726,46,0.01593901593901594,True,False
22,2016,42101036203,0,5472,68785,5132,0.9378654970760234,32,0.005847953216374269,126,0.023026315789473683,94,0.017178362573099414,88,0.01608187134502924,True,False
23,2016,42101009801,0,2417,42906,254,0.10508895324782788,1978,0.8183698800165494,90,0.037236243276789406,11,0.004551096400496483,77,0.031857674803475386,True,False
24,2016,42101012201,0,3077,20726,1084,0.352291192720182,1206,0.3919402014949626,537,0.1745206369840754,50,0.016249593760155997,54,0.017549561260968474,True,False
25,2016,42101007101,0,2546,25000,86,0.03377847604084839,2433,0.9556166535742341,27,0.010604870384917517,0,0.0,0,0.0,True,False
26,2016,42101002801,0,4817,43894,2328,0.4832883537471455,440,0.09134315964293128,1384,0.2873157566950384,522,0.10836620303093211,101,0.02096740709985468,True,False
27,2016,42101029800,0,5194,28407,2176,0.4189449364651521,1867,0.3594532152483635,186,0.03581055063534848,679,0.1307277628032345,286,0.05506353484790143,True,False
28,2016,42101029900,0,4157,18206,1570,0.37767620880442626,2074,0.4989174885734905,22,0.005292278085157566,338,0.0813086360356026,106,0.02549915804666827,True,False
29,2016,42101030100,0,5703,31366,1783,0.31264246887603014,3471,0.6086270384008416,40,0.007013852358407856,208,0.036472032263720845,191,0.03349114501139751,True,False
30,2016,42101030200,0,7697,41728,2175,0.28257762764713523,4033,0.5239703780693776,325,0.0422242432116409,779,0.10120826295959465,385,0.05001948811225153,True,False
31,2016,42101030600,0,8015,41584,3587,0.44753587024329383,2354,0.29369931378665004,367,0.04578914535246413,1247,0.15558328134747348,421,0.05252651278852152,True,False
32,2016,42101036301,0,3454,64107,2793,0.8086276780544297,94,0.02721482339316734,530,0.15344528083381587,8,0.0023161551823972205,29,0.008396062536189925,True,False
33,2016,42101036302,0,3450,47267,2303,0.667536231884058,780,0.22608695652173913,96,0.02782608695652174,48,0.01391304347826087,107,0.03101449275362319,True,False
34,2016,42101036303,0,6059,59462,5600,0.9242449249050998,188,0.031028222478956924,271,0.044726852615943224,0,0.0,0,0.0,True,False
