"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2589","17","2464","102","54","61","0","10","0","10","0","10","19","26","52","57","36","50","16","25","1400000US42001030101","Census Tract 301.01, Adams County, Pennsylvania"
"5781","20","5714","76","0","15","0","15","22","33","0","15","45","50","0","15","0","15","0","15","1400000US42001030102","Census Tract 301.02, Adams County, Pennsylvania"
"5300","249","4613","251","31","25","0","15","57","52","0","15","506","220","93","50","39","37","54","34","1400000US42001030200","Census Tract 302, Adams County, Pennsylvania"
"4274","168","3988","144","51","56","0","10","46","41","0","10","146","111","43","34","4","7","39","33","1400000US42001030300","Census Tract 303, Adams County, Pennsylvania"
"5730","189","5381","131","36","31","3","11","0","15","0","15","301","118","9","11","4","7","5","8","1400000US42001030400","Census Tract 304, Adams County, Pennsylvania"
"3731","166","3287","178","18","22","3","5","8","11","0","10","332","171","83","53","57","57","26","26","1400000US42001030500","Census Tract 305, Adams County, Pennsylvania"
"4938","16","4553","188","24","22","6","11","37","58","0","10","155","144","163","129","134","127","29","29","1400000US42001030600","Census Tract 306, Adams County, Pennsylvania"
"6796","417","6301","398","141","87","0","15","142","150","0","15","12","20","200","117","38","49","162","100","1400000US42001030700","Census Tract 307, Adams County, Pennsylvania"
"7236","266","6948","259","51","39","7","10","18","14","0","15","148","83","64","33","3","6","61","33","1400000US42001030800","Census Tract 308, Adams County, Pennsylvania"
"7669","212","6857","244","209","144","7","11","19","23","0","15","343","128","234","183","99","143","135","107","1400000US42001030900","Census Tract 309, Adams County, Pennsylvania"
"1835","121","1827","123","0","10","0","10","0","10","0","10","0","10","8","12","0","10","8","12","1400000US42001031000","Census Tract 310, Adams County, Pennsylvania"
"5150","204","4795","217","33","47","0","15","92","72","0","15","170","110","60","70","0","15","60","70","1400000US42001031101","Census Tract 311.01, Adams County, Pennsylvania"
"3175","130","2963","150","0","10","0","10","11","14","0","10","51","82","150","123","0","10","150","123","1400000US42001031102","Census Tract 311.02, Adams County, Pennsylvania"
"3684","23","3414","134","93","71","0","10","13","20","0","10","87","71","77","67","0","10","77","67","1400000US42001031201","Census Tract 312.01, Adams County, Pennsylvania"
"2702","23","2674","42","0","10","0","10","0","10","0","10","0","10","28","38","0","10","28","38","1400000US42001031202","Census Tract 312.02, Adams County, Pennsylvania"
"3158","19","3115","44","0","10","0","10","4","6","0","10","0","10","39","40","0","10","39","40","1400000US42001031203","Census Tract 312.03, Adams County, Pennsylvania"
"4439","27","4107","201","47","39","0","10","0","10","0","10","136","177","149","74","0","10","149","74","1400000US42001031300","Census Tract 313, Adams County, Pennsylvania"
"4172","147","3688","301","155","119","0","10","0","10","0","10","279","264","50","41","0","10","50","41","1400000US42001031401","Census Tract 314.01, Adams County, Pennsylvania"
"2015","144","1774","140","20","22","0","10","43","38","0","10","5","7","173","122","43","63","130","112","1400000US42001031402","Census Tract 314.02, Adams County, Pennsylvania"
"3432","295","3036","276","106","72","0","10","103","43","0","10","75","40","112","82","33","25","79","79","1400000US42001031501","Census Tract 315.01, Adams County, Pennsylvania"
"4195","296","3190","344","333","128","11","18","73","87","0","10","358","183","230","165","116","139","114","91","1400000US42001031502","Census Tract 315.02, Adams County, Pennsylvania"
"6955","254","6721","281","27","22","15","13","18","22","0","15","32","39","142","130","0","15","142","130","1400000US42001031600","Census Tract 316, Adams County, Pennsylvania"
"2633","139","2439","156","40","40","0","10","21","22","0","10","23","19","110","75","25","24","85","68","1400000US42001031700","Census Tract 317, Adams County, Pennsylvania"
"6546","286","4299","255","1738","205","27","28","246","107","0","15","6","14","230","88","8","15","222","91","1400000US42003010300","Census Tract 103, Allegheny County, Pennsylvania"
"4823","400","3845","448","313","116","30","27","523","161","0","10","0","10","112","61","17","32","95","51","1400000US42003020100","Census Tract 201, Allegheny County, Pennsylvania"
"943","115","816","84","59","73","0","10","54","36","0","10","0","10","14","16","0","10","14","16","1400000US42003020300","Census Tract 203, Allegheny County, Pennsylvania"
"2177","339","187","91","1704","294","22","36","20","30","0","10","83","129","161","110","26","42","135","93","1400000US42003030500","Census Tract 305, Allegheny County, Pennsylvania"
"1742","246","720","184","751","139","0","10","191","62","0","10","8","17","72","41","0","10","72","41","1400000US42003040200","Census Tract 402, Allegheny County, Pennsylvania"
"1988","249","1334","217","212","194","0","10","405","110","0","10","12","19","25","26","0","10","25","26","1400000US42003040400","Census Tract 404, Allegheny County, Pennsylvania"
"3849","443","3351","402","191","131","0","10","228","87","0","10","50","56","29","33","0","10","29","33","1400000US42003040500","Census Tract 405, Allegheny County, Pennsylvania"
"2134","277","1785","294","100","108","0","10","122","66","0","10","0","10","127","100","20","28","107","99","1400000US42003040600","Census Tract 406, Allegheny County, Pennsylvania"
"3166","340","2165","291","516","107","0","10","265","227","0","10","10","16","210","201","0","10","210","201","1400000US42003040900","Census Tract 409, Allegheny County, Pennsylvania"
"2148","262","152","91","1689","234","0","10","19","28","0","10","0","10","288","179","0","10","288","179","1400000US42003050100","Census Tract 501, Allegheny County, Pennsylvania"
"2118","281","389","141","1522","250","0","10","207","206","0","10","0","10","0","10","0","10","0","10","1400000US42003050600","Census Tract 506, Allegheny County, Pennsylvania"
"1291","176","35","56","1252","185","0","10","0","10","0","10","0","10","4","8","0","10","4","8","1400000US42003050900","Census Tract 509, Allegheny County, Pennsylvania"
"2128","253","935","183","906","214","0","10","214","137","0","10","7","11","66","46","8","12","58","45","1400000US42003051000","Census Tract 510, Allegheny County, Pennsylvania"
"152","52","0","10","152","52","0","10","0","10","0","10","0","10","0","10","0","10","0","10","1400000US42003051100","Census Tract 511, Allegheny County, Pennsylvania"
"2481","254","1991","161","320","51","0","10","24","26","0","10","0","10","146","174","12","17","134","174","1400000US42003060300","Census Tract 603, Allegheny County, Pennsylvania"
"1278","170","1166","153","77","55","0","10","0","10","0","10","0","10","35","37","0","10","35","37","1400000US42003060500","Census Tract 605, Allegheny County, Pennsylvania"
"2192","247","1901","236","43","62","7","11","182","93","0","10","17","21","42","38","0","10","42","38","1400000US42003070300","Census Tract 703, Allegheny County, Pennsylvania"
"3202","213","2376","199","69","55","0","10","679","180","0","10","0","10","78","61","33","51","45","33","1400000US42003070500","Census Tract 705, Allegheny County, Pennsylvania"
"1968","244","1579","209","117","119","0","10","189","93","0","10","37","39","46","70","0","10","46","70","1400000US42003070600","Census Tract 706, Allegheny County, Pennsylvania"
"1929","211","1435","223","42","39","0","10","405","185","0","10","10","15","37","34","20","27","17","21","1400000US42003070800","Census Tract 708, Allegheny County, Pennsylvania"
"4283","446","2374","318","298","180","15","24","1498","329","0","10","1","4","97","65","0","10","97","65","1400000US42003070900","Census Tract 709, Allegheny County, Pennsylvania"
"1545","149","1495","161","37","35","0","10","13","15","0","10","0","10","0","10","0","10","0","10","1400000US42003080200","Census Tract 802, Allegheny County, Pennsylvania"
"1525","118","1153","141","119","95","0","10","222","81","0","10","8","12","23","22","0","10","23","22","1400000US42003080400","Census Tract 804, Allegheny County, Pennsylvania"
"2048","164","1852","185","85","48","0","10","45","45","0","10","25","42","41","39","0","10","41","39","1400000US42003080600","Census Tract 806, Allegheny County, Pennsylvania"
"1858","180","1238","178","247","111","0","10","317","134","0","10","1","2","55","47","0","10","55","47","1400000US42003080700","Census Tract 807, Allegheny County, Pennsylvania"
"1786","162","1374","174","246","114","7","10","119","103","0","10","13","23","27","19","6","13","21","15","1400000US42003080900","Census Tract 809, Allegheny County, Pennsylvania"
"1871","146","1810","153","11","10","0","10","10","11","0","10","0","10","40","52","0","10","40","52","1400000US42003090100","Census Tract 901, Allegheny County, Pennsylvania"
"2907","297","2557","270","154","84","0","10","76","61","0","10","0","10","120","100","0","10","120","100","1400000US42003090200","Census Tract 902, Allegheny County, Pennsylvania"
"1781","216","1430","219","284","203","0","10","35","28","0","10","9","11","23","20","0","10","23","20","1400000US42003090300","Census Tract 903, Allegheny County, Pennsylvania"
"1970","167","612","146","1302","117","0","10","18","27","0","10","0","10","38","39","0","10","38","39","1400000US42003100500","Census Tract 1005, Allegheny County, Pennsylvania"
