"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"3724","444","3177","388","183","113","0","10","308","182","0","10","24","38","32","26","0","10","32","26","1400000US42003040500","Census Tract 405, Allegheny County, Pennsylvania"
"1938","247","1659","239","131","104","0","10","76","53","0","10","0","10","72","50","23","26","49","45","1400000US42003040600","Census Tract 406, Allegheny County, Pennsylvania"
"3007","356","2343","309","301","136","0","10","250","240","0","10","0","10","113","98","0","10","113","98","1400000US42003040900","Census Tract 409, Allegheny County, Pennsylvania"
"2087","279","169","101","1696","271","0","10","18","27","0","10","0","10","204","208","0","10","204","208","1400000US42003050100","Census Tract 501, Allegheny County, Pennsylvania"
"1772","300","343","102","1253","275","0","10","168","184","0","10","0","10","8","14","0","10","8","14","1400000US42003050600","Census Tract 506, Allegheny County, Pennsylvania"
"1367","194","34","54","1266","201","67","62","0","10","0","10","0","10","0","10","0","10","0","10","1400000US42003050900","Census Tract 509, Allegheny County, Pennsylvania"
"2163","263","950","175","948","253","10","11","177","98","0","10","7","10","71","50","7","13","64","48","1400000US42003051000","Census Tract 510, Allegheny County, Pennsylvania"
"187","77","0","10","187","77","0","10","0","10","0","10","0","10","0","10","0","10","0","10","1400000US42003051100","Census Tract 511, Allegheny County, Pennsylvania"
"2533","215","2008","182","341","60","0","10","13","18","0","10","0","10","171","126","0","10","171","126","1400000US42003060300","Census Tract 603, Allegheny County, Pennsylvania"
"1299","135","1173","141","74","55","0","10","0","10","12","20","0","10","40","33","0","10","40","33","1400000US42003060500","Census Tract 605, Allegheny County, Pennsylvania"
"2024","201","1749","188","113","97","15","17","106","72","0","10","21","24","20","23","0","10","20","23","1400000US42003070300","Census Tract 703, Allegheny County, Pennsylvania"
"3161","278","2346","220","77","58","0","10","672","210","0","10","13","20","53","35","0","10","53","35","1400000US42003070500","Census Tract 705, Allegheny County, Pennsylvania"
"1978","237","1621","217","46","40","4","6","236","89","0","10","17","25","54","71","0","10","54","71","1400000US42003070600","Census Tract 706, Allegheny County, Pennsylvania"
"1851","182","1208","212","46","39","0","10","540","192","0","10","27","40","30","29","18","23","12","19","1400000US42003070800","Census Tract 708, Allegheny County, Pennsylvania"
"4594","414","2636","369","244","140","19","31","1601","345","0","10","3","5","91","73","0","10","91","73","1400000US42003070900","Census Tract 709, Allegheny County, Pennsylvania"
"1640","141","1517","157","107","108","0","10","16","14","0","10","0","10","0","10","0","10","0","10","1400000US42003080200","Census Tract 802, Allegheny County, Pennsylvania"
