"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2689","18","2441","122","35","53","0","10","0","10","0","10","96","71","117","80","44","58","73","60","1400000US42001030101","Census Tract 301.01, Adams County, Pennsylvania"
"5851","20","5740","127","20","32","0","15","0","15","0","15","0","15","91","101","0","15","91","101","1400000US42001030102","Census Tract 301.02, Adams County, Pennsylvania"
"5506","231","4862","230","44","31","10","15","51","48","0","15","517","211","22","19","9","13","13","13","1400000US42001030200","Census Tract 302, Adams County, Pennsylvania"
"4221","144","3955","130","60","59","0","10","36","40","0","10","133","89","37","28","0","10","37","28","1400000US42001030300","Census Tract 303, Adams County, Pennsylvania"
"5688","164","5295","253","21","22","0","15","125","166","0","15","246","125","1","2","0","15","1","2","1400000US42001030400","Census Tract 304, Adams County, Pennsylvania"
"3832","193","3279","208","57","83","0","10","9","13","0","10","390","163","97","67","45","61","52","49","1400000US42001030500","Census Tract 305, Adams County, Pennsylvania"
"4954","19","4451","266","79","54","6","11","6","14","0","10","202","156","210","175","176","179","34","55","1400000US42001030600","Census Tract 306, Adams County, Pennsylvania"
"6661","286","6293","302","189","100","0","15","52","52","0","15","13","20","114","71","0","15","114","71","1400000US42001030700","Census Tract 307, Adams County, Pennsylvania"
"7418","255","7085","258","121","86","0","15","56","39","0","15","105","59","51","26","2","4","49","26","1400000US42001030800","Census Tract 308, Adams County, Pennsylvania"
"7587","226","7046","256","118","95","0","15","34","31","0","15","219","123","170","110","0","15","170","110","1400000US42001030900","Census Tract 309, Adams County, Pennsylvania"
"1873","114","1859","108","0","10","0","10","0","10","0","10","0","10","14","22","0","10","14","22","1400000US42001031000","Census Tract 310, Adams County, Pennsylvania"
"5133","224","4803","277","0","15","0","15","37","40","0","15","201","139","92","89","0","15","92","89","1400000US42001031101","Census Tract 311.01, Adams County, Pennsylvania"
"3258","165","3059","226","51","52","35","56","0","10","0","10","0","10","113","111","20","30","93","88","1400000US42001031102","Census Tract 311.02, Adams County, Pennsylvania"
"3728","22","3437","156","79","65","0","10","20","27","0","10","63","47","129","103","0","10","129","103","1400000US42001031201","Census Tract 312.01, Adams County, Pennsylvania"
"2728","19","2623","73","0","10","3","6","7","12","0","10","0","10","95","65","0","10","95","65","1400000US42001031202","Census Tract 312.02, Adams County, Pennsylvania"
"3181","22","3101","52","17","25","8","8","15","19","0","10","4","7","36","35","0","10","36","35","1400000US42001031203","Census Tract 312.03, Adams County, Pennsylvania"
"4495","35","4133","244","54","51","0","10","0","10","0","10","186","220","122","92","0","10","122","92","1400000US42001031300","Census Tract 313, Adams County, Pennsylvania"
