,id,name,lat,lon,first,last,rides
80,4183,Catalina & Colorado,34.146069,-118.129181,2017-06-23,2018-09-30,1648
81,4181,Oak Knoll & Colorado,34.146221,-118.135262,2017-06-26,2018-09-30,2256
82,4138,Old Pasadena,34.145691,-118.148239,2017-06-27,2018-09-30,1805
83,4165,Del Mar Station,34.14175,-118.149063,2017-06-29,2018-09-30,2150
84,4144,Cordova & Lake,34.142399,-118.132652,2017-06-29,2018-09-30,1452
85,4159,Pasadena City College,34.145901,-118.116539,2017-06-21,2018-09-30,1939
86,4146,City Hall West,34.147652,-118.145569,2017-06-21,2018-09-30,1007
87,4160,Fillmore Station,34.133011,-118.14856,2017-06-22,2018-09-30,1209
88,4167,Pasadena & Dayton,34.143822,-118.154099,2017-06-22,2018-09-30,862
89,4147,Fair Oaks & Mercantile Alley,34.145248,-118.15007,2017-07-14,2018-09-30,1460
90,4149,Arroyo Parkway & Bellevue,34.13821,-118.147079,2017-07-14,2018-09-30,888
91,4153,Rose Bowl,34.156181,-118.166687,2017-07-14,2018-09-30,2779
92,4158,Lake & California,34.13525,-118.13237,2017-07-14,2018-09-30,1035
93,4154,Fair Oaks & Peoria,34.15612,-118.151192,2017-07-14,2018-09-30,1157
94,4152,Pasadena Museum,34.149712,-118.160172,2017-07-14,2018-09-30,891
95,4174,Fair Oaks & Hammond,34.165291,-118.15097,2017-07-15,2018-09-30,634
96,4166,Colorado & Hill,34.145908,-118.12175,2017-07-15,2018-09-30,1246
97,4125,Banning's Landing,33.766659,-118.261017,2017-07-18,2019-12-31,149
98,4136,Waterfront Park (West),33.771759,-118.276543,2017-07-18,2019-12-31,508
99,4134,USS IOWA,33.74136,-118.278069,2017-07-18,2019-12-31,1048
100,4129,Crafted 22nd St Park,33.725819,-118.28051,2017-07-19,2019-12-31,1760
101,4132,Fanfare Fountain,33.74913,-118.280182,2017-07-19,2019-12-31,1900
102,4133,Ports O'Call,33.733521,-118.277786,2017-07-19,2019-12-31,1787
103,4126,Cabrillo Beach,33.710979,-118.284668,2017-07-20,2019-12-31,3946
104,4127,Catalina Express,33.74892,-118.275192,2017-07-20,2019-12-31,454
105,4130,DoubleTree Hotel,33.719261,-118.282722,2017-07-20,2019-12-31,1850
106,4180,Caltech West,34.137951,-118.128502,2017-07-21,2018-09-30,1981
107,4194,Union Station East,34.056702,-118.231392,2017-07-26,2017-09-30,108
108,4131,Downtown Harbor,33.738979,-118.279266,2017-07-31,2019-12-31,2526
109,4135,Waterfront Park (East),33.772301,-118.268044,2017-07-31,2019-12-31,911
110,3013,Anaheim & Avalon,33.779819,-118.263023,2017-08-02,2019-09-30,295
